source,target,weight,total_votes_agreed,total_votes_shared,source_party,target_party,period,topic
Alex Ahrendtsen,Christian Langballe (udpeget af DF),1.0,67,67,Dansk Folkeparti,Dansk Folkeparti,68,klima
Alex Ahrendtsen,Torsten Schack Pedersen,0.6901408450704225,49,71,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Mads Rørvig,0.7272727272727273,48,66,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Brian Mikkelsen,0.671875,43,64,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Troels Ravn,0.5285714285714286,37,70,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Özlem Sara Cekic,0.45569620253164556,36,79,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Marlene Borst Hansen,0.5254237288135594,31,59,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Finn Sørensen,0.5076923076923077,33,65,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Louise Elholm,0.6764705882352942,46,68,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Peter Christensen,0.6923076923076923,27,39,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Mike Legarth,0.6615384615384615,43,65,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Jesper Petersen,0.5432098765432098,44,81,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,René Christensen,0.975,39,40,Dansk Folkeparti,Dansk Folkeparti,68,klima
Alex Ahrendtsen,Ole Birk Olesen,0.5357142857142857,30,56,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Morten Marinus,1.0,64,64,Dansk Folkeparti,Dansk Folkeparti,68,klima
Alex Ahrendtsen,Jan E. Jørgensen,0.7662337662337663,59,77,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Charlotte Dyremose,0.6190476190476191,13,21,Dansk Folkeparti,Det Konservative Folkeparti,68,klima
Alex Ahrendtsen,Trine Pertou Mach,0.5294117647058824,9,17,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Joachim B. Olsen,0.639344262295082,39,61,Dansk Folkeparti,Liberal Alliance,68,klima
Alex Ahrendtsen,Lotte Rod,0.5454545454545454,42,77,Dansk Folkeparti,Radikale Venstre,68,klima
Alex Ahrendtsen,Jens Henrik Thulesen Dahl,1.0,74,74,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Trine Bramsen,0.5222222222222223,47,90,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Dennis Flydtkjær,0.987012987012987,76,77,Dansk Folkeparti,Danmarksdemokraterne,68,klima
Alex Ahrendtsen,Benny Engelbrecht,0.5176470588235295,44,85,Dansk Folkeparti,Socialdemokratiet,68,klima
Alex Ahrendtsen,Karina Lorentzen Dehnhardt,0.5172413793103449,30,58,Dansk Folkeparti,Socialistisk Folkeparti,68,klima
Alex Ahrendtsen,Stine Brix,0.5694444444444444,41,72,Dansk Folkeparti,Enhedslisten,68,klima
Alex Ahrendtsen,Hans Christian Schmidt,0.7090909090909091,39,55,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Kim Andersen (udpeget af V),0.6507936507936508,41,63,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Preben Bang Henriksen,0.6521739130434783,45,69,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Bertel Haarder,0.6896551724137931,40,58,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,Sophie Løhde,0.6296296296296297,34,54,Dansk Folkeparti,Venstre,68,klima
Alex Ahrendtsen,John Dyrby Paulsen,0.5396825396825397,34,63,Dansk Folkeparti,Socialdemokratiet,68,klima
