vote_id,vote_typeid,afstemning_id,aktørid,afstemning_nummer,afstemning_vedtaget,Period,primary_topic,all_topics,møde_dato,møde_year_month,politician,party
1484479,3,5986,1744,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Kamal Qureshi,Socialistisk Folkeparti
1484477,3,5986,671,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Niels Helveg Petersen,Radikale Venstre
1484498,1,5986,176,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Søren Søndergaard,Enhedslisten
1484515,2,5986,1916,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Christian Wedell-Neergaard,Det Konservative Folkeparti
1484514,1,5986,12,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Nicolai Wammen,Socialdemokratiet
1484513,1,5986,1558,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Tove Videbæk,Kristendemokraterne
1484512,2,5986,1749,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jens Vibjerg (udpeget af V),Venstre
1484510,1,5986,106,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Margrethe Vestager,Radikale Venstre
1484509,2,5986,212,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Eyvind Vesselbo,Venstre
1484508,1,5986,1822,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Jens Peter Vernersen,Socialdemokratiet
1484507,2,5986,296,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Ulla Tørnæs,Venstre
1484505,3,5986,379,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Kristen Touborg,Socialistisk Folkeparti
1484502,1,5986,348,2,False,65,klima_miljø,"['klima_miljø', 'finans_budget', 'forsvar_sikkerhed', 'social_familie']",2004-10-07 10:00:00,2004-10,Villy Søvndal,Socialistisk Folkeparti
