metadata_vote_id,vote_type,voting_id,aktør_id,metadata_opdateringsdato
1021712,1,1328,17,2018-01-25T16:57:32.393
1021713,1,1328,351,2018-01-25T16:57:32.393
1021714,1,1328,258,2018-01-25T16:57:32.393
1021715,1,1328,158,2018-01-25T16:57:32.393
1021716,1,1328,5182,2018-01-25T16:57:32.393
1021717,1,1328,1619,2018-01-25T16:57:32.393
1021718,2,1328,221,2018-01-25T16:57:32.393
1021719,2,1328,676,2018-01-25T16:57:32.393
1021720,1,1328,352,2018-01-25T16:57:32.393
1021721,2,1328,677,2018-01-25T16:57:32.393
1021722,1,1328,64,2018-01-25T16:57:32.393
1021723,1,1328,28,2018-01-25T16:57:32.393
1021724,1,1328,24,2018-01-25T16:57:32.393
1021725,1,1328,257,2018-01-25T16:57:32.393
1021726,1,1328,4957,2018-01-25T16:57:32.393
1021727,1,1328,96,2018-01-25T16:57:32.393
1021728,1,1328,217,2018-01-25T16:57:32.393
1021729,1,1328,194,2018-01-25T16:57:32.393
1021730,1,1328,651,2018-01-25T16:57:32.393
1021731,1,1328,4515,2018-01-25T16:57:32.393
1021732,1,1328,130,2018-01-25T16:57:32.393
1021733,1,1328,1410,2018-01-25T16:57:32.393
1021734,1,1328,3085,2018-01-25T16:57:32.393
1021735,1,1328,1951,2018-01-25T16:57:32.393
1021736,1,1328,665,2018-01-25T16:57:32.393
1021737,1,1328,1023,2018-01-25T16:57:32.393
1021738,1,1328,33,2018-01-25T16:57:32.393
1021739,1,1328,193,2018-01-25T16:57:32.393
1021740,2,1328,56,2018-01-25T16:57:32.393
1021741,1,1328,163,2018-01-25T16:57:32.393
1021742,1,1328,297,2018-01-25T16:57:32.393
1021743,1,1328,133,2018-01-25T16:57:32.393
1021744,1,1328,1829,2018-01-25T16:57:32.393
1021745,1,1328,80,2018-01-25T16:57:32.393
1021746,2,1328,3090,2018-01-25T16:57:32.393
1021747,1,1328,4969,2018-01-25T16:57:32.393
1021748,1,1328,1744,2018-01-25T16:57:32.393
1021749,1,1328,1358,2018-01-25T16:57:32.393
1021750,1,1328,725,2018-01-25T16:57:32.393
1021751,1,1328,1357,2018-01-25T16:57:32.393
1021752,2,1328,147,2018-01-25T16:57:32.393
1021753,1,1328,653,2018-01-25T16:57:32.393
1021754,1,1328,1280,2018-01-25T16:57:32.393
1021755,1,1328,1299,2018-01-25T16:57:32.393
1021756,1,1328,187,2018-01-25T16:57:32.393
1021757,2,1328,48,2018-01-25T16:57:32.393
1021758,1,1328,179,2018-01-25T16:57:32.393
1021759,1,1328,296,2018-01-25T16:57:32.393
1021760,1,1328,1822,2018-01-25T16:57:32.393
1021761,1,1328,212,2018-01-25T16:57:32.393
1021762,1,1328,1749,2018-01-25T16:57:32.393
1021763,1,1328,1090,2018-01-25T16:57:32.393
1021764,1,1328,206,2018-01-25T16:57:32.393
1021765,1,1328,125,2018-01-25T16:57:32.393
1021766,1,1328,182,2018-01-25T16:57:32.393
1021767,1,1328,131,2018-01-25T16:57:32.393
1021768,1,1328,83,2018-01-25T16:57:32.393
1021769,1,1328,279,2018-01-25T16:57:32.393
1021770,1,1328,10707,2018-01-25T16:57:32.393
1021771,1,1328,10691,2018-01-25T16:57:32.393
1021772,1,1328,1413,2018-01-25T16:57:32.393
1021773,1,1328,1162,2018-01-25T16:57:32.393
1021774,1,1328,1087,2018-01-25T16:57:32.393
1021775,1,1328,650,2018-01-25T16:57:32.393
1021776,1,1328,11586,2018-01-25T16:57:32.393
1021777,1,1328,11412,2018-01-25T16:57:32.393
1021778,1,1328,11585,2018-01-25T16:57:32.393
1021779,3,1328,117,2021-01-28T20:20:46.02
1021780,3,1328,126,2021-01-28T20:20:46.047
1021781,3,1328,195,2021-01-28T20:20:46.107
1021782,3,1328,856,2021-01-28T20:20:46.153
1021783,3,1328,71,2021-01-28T20:20:46.183
1021784,3,1328,1455,2021-01-28T20:20:46.24
1021785,3,1328,49,2021-01-28T20:20:46.28
1021786,3,1328,220,2021-01-28T20:20:46.3
1021787,3,1328,648,2021-01-28T20:20:46.323
1021788,3,1328,94,2021-01-28T20:20:46.343
1021789,3,1328,664,2021-01-28T20:20:46.363
1021790,3,1328,211,2021-01-28T20:20:46.39
1021791,3,1328,654,2021-01-28T20:20:46.41
1021792,3,1328,34,2021-01-28T20:20:46.437
1021793,3,1328,138,2021-01-28T20:20:46.457
1021794,3,1328,3092,2021-01-28T20:20:46.477
1021795,3,1328,92,2021-01-28T20:20:46.493
1021796,3,1328,663,2021-01-28T20:20:46.537
1021797,3,1328,288,2021-01-28T20:20:46.587
1021798,3,1328,246,2021-01-28T20:20:46.6
1021799,3,1328,6689,2021-01-28T20:20:46.607
1021800,3,1328,244,2021-01-28T20:20:46.613
1021801,3,1328,1883,2021-01-28T20:20:46.62
1021802,3,1328,1833,2021-01-28T20:20:46.623
1021803,3,1328,67,2021-01-28T20:20:46.647
1021804,3,1328,55,2021-01-28T20:20:46.663
1021805,3,1328,271,2021-01-28T20:20:46.683
1021806,3,1328,260,2021-01-28T20:20:46.707
1021807,3,1328,201,2021-01-28T20:20:46.73
1021808,3,1328,247,2021-01-28T20:20:46.743
1021809,3,1328,670,2021-01-28T20:20:46.77
1021810,3,1328,1378,2021-01-28T20:20:46.783
1021811,3,1328,252,2021-01-28T20:20:46.807
1021812,3,1328,280,2021-01-28T20:20:46.83
1021813,3,1328,384,2021-01-28T20:20:46.86
1021814,3,1328,1880,2021-01-28T20:20:46.88
1021815,3,1328,1124,2021-01-28T20:20:46.907
1021816,3,1328,671,2021-01-28T20:20:46.937
1021817,3,1328,4956,2021-01-28T20:20:46.977
1021818,3,1328,264,2021-01-28T20:20:46.997
1021819,3,1328,11584,2021-01-28T20:20:47.023
1021820,3,1328,81,2021-01-28T20:20:47.053
1021821,3,1328,148,2021-01-28T20:20:47.093
1021822,3,1328,1757,2021-01-28T20:20:47.123
1021823,3,1328,82,2021-01-28T20:20:47.157
1021824,3,1328,226,2021-01-28T20:20:47.183
1021825,3,1328,348,2021-01-28T20:20:47.203
