Node,In Degree,Out Degree,Content Length,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Avg Successor In-Degree,Avg Successor Content Length,Louvain Community
Velvet Revolver,12,21,10076,0.07174,0.002,0.03182,36.04761904761905,20961.619047619046,3.0
Radiohead,33,23,34134,0.12174,0.01161,0.04866,37.30434782608695,24236.956521739132,0.0
Godsmack,21,12,14216,0.07174,0.00134,0.05246,47.583333333333336,25382.166666666668,3.0
Heart (band),18,23,13023,0.08913,0.00412,0.03845,42.869565217391305,24475.91304347826,4.0
Boston (band),7,11,8386,0.03913,0.00032,0.02036,34.72727272727273,17487.18181818182,4.0
AFI (band),8,13,9793,0.04565,0.00056,0.00616,36.53846153846154,25079.69230769231,0.0
David Bowie,84,21,42562,0.22826,0.01444,0.15695,35.095238095238095,20840.571428571428,0.0
Green Day,44,22,34916,0.14348,0.0152,0.03798,29.363636363636363,21087.272727272728,0.0
My Chemical Romance,19,30,28765,0.10652,0.00814,0.02031,36.5,24334.166666666668,0.0
Joy Division,22,9,8975,0.06739,0.00139,0.04386,55.77777777777778,27928.88888888889,0.0
Echo & the Bunnymen,11,3,7551,0.03043,0.00072,0.01098,19.666666666666668,16428.333333333332,0.0
Panic! at the Disco,16,10,22183,0.05652,0.00392,0.01846,31.0,26004.8,0.0
Air Supply,3,3,8083,0.01304,7e-05,0.00064,15.666666666666666,23578.666666666668,4.0
Chicago (band),9,20,37665,0.06304,0.004,0.00883,29.2,19025.0,4.0
Cold Chisel,6,12,11591,0.03913,0.00168,0.00588,25.5,17051.083333333332,0.0
Alanis Morissette,13,15,18703,0.06087,0.00598,0.01678,24.933333333333334,21388.666666666668,3.0
Avril Lavigne,13,31,38582,0.09565,0.01012,0.01792,23.322580645161292,21685.967741935485,0.0
Dave Matthews Band,8,9,12521,0.03696,0.00293,0.01073,18.0,19919.0,2.0
Barenaked Ladies,6,12,12858,0.03913,0.0018,0.00566,37.25,26683.75,2.0
Matchbox Twenty,6,3,5925,0.01957,0.00032,0.00242,10.666666666666666,12041.666666666666,3.0
No Doubt,15,12,10957,0.0587,0.00332,0.0162,29.166666666666668,23243.666666666668,0.0
Garbage (band),10,14,16564,0.05217,0.00119,0.01177,31.714285714285715,19462.214285714286,0.0
Neil Young,49,32,28665,0.17609,0.02288,0.08811,30.46875,21472.65625,2.0
Alice Cooper (band),3,22,6278,0.05435,0.00045,0.00789,38.36363636363637,26518.090909090908,2.0
Manfred Mann,9,5,4172,0.03043,0.0011,0.00881,28.2,12064.6,2.0
White Zombie (band),14,15,4518,0.06304,0.00107,0.04347,38.46666666666667,20404.533333333333,1.0
Elvis Presley,68,7,34332,0.16304,0.0026,0.13679,41.142857142857146,21433.571428571428,2.0
The Who,23,34,29479,0.12391,0.01062,0.02322,38.94117647058823,24882.117647058825,2.0
The Doors,17,13,15689,0.06522,0.00327,0.02067,25.923076923076923,15583.153846153846,3.0
The Beach Boys,12,20,37803,0.06957,0.00569,0.00994,24.75,18774.5,2.0
Donovan,11,19,11810,0.06522,0.00239,0.01661,41.10526315789474,23947.42105263158,2.0
Twisted Sister,10,21,7149,0.06739,0.00062,0.02051,47.714285714285715,24724.380952380954,1.0
Marilyn Manson,15,16,36479,0.06739,0.0026,0.03627,32.3125,28273.75,3.0
Rob Zombie,18,21,20242,0.08478,0.00337,0.04804,38.857142857142854,24058.285714285714,1.0
Jackson Browne,13,17,8264,0.06522,0.0047,0.01819,30.352941176470587,22467.529411764706,2.0
Theory of a Deadman,12,12,6200,0.05217,0.00202,0.02056,19.5,13555.833333333334,3.0
Edgar Winter,4,4,5924,0.01739,0.00021,0.00519,38.0,23767.0,1.0
Filter (band),13,12,7994,0.05435,0.00173,0.02207,29.916666666666668,19700.416666666668,3.0
Midnight Oil,8,28,17548,0.07826,0.00659,0.0057,27.678571428571427,20215.14285714286,0.0
Bob Dylan,91,30,44112,0.26304,0.02671,0.14095,35.8,24554.866666666665,2.0
The Flaming Lips,8,9,11544,0.03696,0.00222,0.01316,27.333333333333332,20996.222222222223,0.0
Stevie Ray Vaughan,10,16,16532,0.05652,0.00328,0.03513,33.1875,23525.3125,2.0
Linda Ronstadt,15,24,29775,0.08478,0.00382,0.02281,32.416666666666664,21537.125,2.0
Don Henley,15,19,10821,0.07391,0.00225,0.02398,31.105263157894736,22649.842105263157,2.0
Chris Cornell,17,30,34978,0.10217,0.00707,0.04058,41.9,23723.133333333335,3.0
Queensrÿche,12,25,12457,0.08043,0.00192,0.03198,41.76,23571.4,1.0
The Cult,7,23,14841,0.06522,0.00078,0.01821,43.78260869565217,23910.608695652172,1.0
Lamb of God (band),11,13,16510,0.05217,0.00017,0.03834,41.38461538461539,25252.384615384617,1.0
Avenged Sevenfold,26,36,16489,0.13478,0.00846,0.06256,29.916666666666668,20884.13888888889,1.0
Funkadelic,6,5,2789,0.02391,0.00174,0.01307,25.0,10315.8,3.0
Jimi Hendrix,75,32,29058,0.23261,0.03463,0.14432,40.09375,24093.09375,2.0
Eddie Money,3,5,5613,0.01739,0.00024,0.00562,41.8,23665.6,4.0
Pixies (band),18,31,15586,0.10652,0.00864,0.03817,32.29032258064516,20356.870967741936,0.0
Three Days Grace,18,23,20198,0.08913,0.00324,0.01872,17.565217391304348,14527.391304347826,3.0
Bush (British band),11,26,7182,0.08043,0.00379,0.01559,36.53846153846154,21341.653846153848,3.0
Creed (band),16,15,12351,0.06739,0.00417,0.02676,40.666666666666664,19754.866666666665,3.0
Days of the New,2,9,5864,0.02391,0.00021,0.00642,29.22222222222222,21004.333333333332,3.0
Hoobastank,5,5,4577,0.02174,0.00018,0.00775,22.2,17719.6,3.0
Seether,15,16,7240,0.06739,0.00093,0.01656,24.6875,17162.0625,3.0
Fuel (band),8,8,5630,0.03478,0.00061,0.00293,17.875,10486.375,3.0
Lacuna Coil,10,13,7060,0.05,0.00033,0.02157,33.53846153846154,25782.615384615383,1.0
Black Stone Cherry,4,11,3047,0.03261,0.00436,0.0065,21.0,13138.181818181818,3.0
Halestorm,20,9,6154,0.06304,0.00115,0.02822,33.44444444444444,24130.11111111111,3.0
Volbeat,10,18,6320,0.06087,0.00084,0.02589,35.05555555555556,21139.88888888889,1.0
Ambrosia (band),1,9,4908,0.02174,0.00054,6e-05,21.666666666666668,13253.222222222223,2.0
The Alan Parsons Project,3,3,3447,0.01304,0.0024,0.00148,22.333333333333332,14012.0,2.0
Fleetwood Mac,31,21,20154,0.11304,0.0155,0.03438,25.428571428571427,15660.238095238095,2.0
Kenny Loggins,9,3,7229,0.02609,0.00104,0.00307,28.333333333333332,18953.0,2.0
Eagles (band),28,16,16781,0.09565,0.00665,0.04319,23.875,15824.125,2.0
America (band),6,16,8389,0.04783,0.00188,0.00187,26.0,19814.5625,2.0
"Crosby, Stills, Nash & Young",10,12,15600,0.04783,0.00268,0.01622,30.0,20843.833333333332,2.0
The Mamas & the Papas,2,4,8357,0.01304,9e-05,0.00133,40.75,29145.75,2.0
Christopher Cross,4,8,6222,0.02609,0.00055,0.00119,14.25,15607.375,4.0
Three Dog Night,5,4,5945,0.01957,0.00138,0.00341,13.5,15412.25,2.0
Gin Blossoms,5,4,4778,0.01957,0.00028,0.00071,37.25,20230.5,3.0
Living Colour,10,5,5724,0.03261,0.00034,0.03022,32.6,30509.8,1.0
Evanescence,14,23,29448,0.08043,0.00317,0.02379,29.608695652173914,19967.434782608696,3.0
Slipknot (band),31,29,23550,0.13043,0.00368,0.07737,42.55172413793103,23589.620689655174,1.0
Killswitch Engage,14,21,15139,0.07609,0.00159,0.02181,26.904761904761905,19874.428571428572,1.0
Sepultura,19,31,14939,0.1087,0.00116,0.06277,45.12903225806452,24015.225806451614,1.0
April Wine,2,22,5867,0.05217,0.0019,0.00274,21.454545454545453,15983.636363636364,4.0
The Guess Who,3,2,7620,0.01087,2e-05,0.0004,8.0,9783.0,2.0
Badfinger,6,13,14640,0.0413,0.00047,0.00901,39.07692307692308,23985.384615384617,2.0
Bachman–Turner Overdrive,4,16,10640,0.04348,0.0027,0.00375,32.375,20639.5,2.0
Loverboy,5,12,3643,0.03696,0.00096,0.00319,25.916666666666668,14713.0,4.0
Uriah Heep (band),15,19,10850,0.07391,0.00291,0.0249,39.68421052631579,22638.42105263158,1.0
Foreigner (band),21,19,12201,0.08696,0.00466,0.01815,31.736842105263158,17425.947368421053,4.0
Meat Loaf,8,13,19749,0.04565,0.00185,0.00792,31.384615384615383,21584.23076923077,4.0
Arcade Fire,11,7,17102,0.03913,0.00062,0.01209,44.714285714285715,28925.0,0.0
Bruce Springsteen,62,15,34013,0.16739,0.01519,0.08142,28.133333333333333,18783.0,2.0
Beck,20,26,19341,0.1,0.0135,0.03286,28.5,20694.615384615383,0.0
Arctic Monkeys,13,21,26258,0.07391,0.00864,0.00691,44.476190476190474,26295.47619047619,0.0
Cream (band),34,10,6619,0.09565,0.00266,0.0642,52.2,24445.5,2.0
Elvis Costello,34,28,28764,0.13478,0.01024,0.05087,38.75,27183.964285714286,2.0
Royal Blood (band),1,7,5413,0.01739,2e-05,0.00029,29.857142857142858,25972.0,0.0
Bring Me the Horizon,6,16,32142,0.04783,0.0014,0.00484,25.125,24385.9375,0.0
Sam Fender,1,23,27990,0.05217,0.00052,0.00029,34.30434782608695,23119.260869565216,2.0
Manfred Mann's Earth Band,8,14,6675,0.04783,0.00427,0.01181,27.142857142857142,20307.785714285714,2.0
James Blunt,3,2,11819,0.01087,6e-05,0.00534,41.0,27631.5,2.0
Bullet for My Valentine,11,28,19922,0.08478,0.00114,0.03347,41.57142857142857,24851.821428571428,1.0
Black Veil Brides,4,25,14953,0.06304,0.00072,0.00511,33.08,21497.32,1.0
Cage the Elephant,3,17,9977,0.04348,0.00287,0.00304,33.94117647058823,24366.117647058825,0.0
Five Finger Death Punch,15,21,16883,0.07826,0.00117,0.02775,28.523809523809526,18891.285714285714,1.0
Chevelle (band),11,12,16078,0.05,0.00066,0.01326,17.083333333333332,13587.916666666666,3.0
Trivium (band),15,30,14353,0.09783,0.0034,0.04714,38.06666666666667,23184.933333333334,1.0
Our Lady Peace,6,18,9569,0.05217,0.00099,0.00278,31.166666666666668,18638.444444444445,3.0
Goo Goo Dolls,7,2,8140,0.01957,0.00042,0.00219,14.5,14908.0,3.0
Boys Like Girls,5,11,9658,0.03478,0.00056,0.00147,9.454545454545455,15627.454545454546,0.0
Billy Idol,11,16,11822,0.0587,0.00693,0.01201,29.0,22416.5,0.0
Simple Plan,7,13,10167,0.04348,0.00059,0.00362,20.23076923076923,22986.53846153846,0.0
Blink-182,22,20,22658,0.0913,0.00607,0.02807,34.4,24904.15,0.0
Sum 41,14,32,32764,0.1,0.00825,0.02196,34.59375,24049.5,0.0
Janis Joplin,13,11,22524,0.05217,0.00453,0.03029,27.09090909090909,16565.363636363636,2.0
Hole (band),11,16,16739,0.0587,0.00143,0.01561,36.75,24848.0625,3.0
Coldplay,23,25,46972,0.10435,0.00585,0.01787,33.08,22406.04,0.0
Third Eye Blind,6,11,13851,0.03696,0.00288,0.00648,32.81818181818182,25051.909090909092,3.0
Dashboard Confessional,6,15,5916,0.04565,0.00333,0.00357,30.866666666666667,23331.733333333334,0.0
Paramore,15,23,30689,0.08261,0.00371,0.01167,28.17391304347826,22664.695652173912,0.0
Awolnation,1,11,9406,0.02609,0.00013,0.00025,19.363636363636363,17654.81818181818,0.0
Fall Out Boy,17,21,38071,0.08261,0.00566,0.01816,33.285714285714285,26084.52380952381,0.0
Twenty One Pilots,3,9,31617,0.02609,0.00026,0.00105,26.333333333333332,26983.666666666668,0.0
The Cars,6,3,4198,0.01957,0.00038,0.0016,12.333333333333334,20886.666666666668,0.0
Rise Against,9,17,17943,0.05652,0.00433,0.00613,22.705882352941178,19350.823529411766,0.0
Little Richard,37,40,25991,0.16739,0.02271,0.10237,36.175,20464.0,2.0
Creedence Clearwater Revival,14,10,10240,0.05217,0.00114,0.0168,41.1,23812.2,2.0
The Doobie Brothers,3,24,11232,0.0587,0.00136,0.00222,20.708333333333332,14748.041666666666,4.0
Bad Company,15,16,5608,0.06739,0.00449,0.03079,28.6875,15177.0,4.0
Small Faces,9,10,8064,0.0413,0.00064,0.01194,39.4,20480.6,2.0
Billy Squier,4,18,4437,0.04783,0.00139,0.00837,28.333333333333332,15876.444444444445,4.0
Joe Walsh,19,27,11918,0.1,0.00731,0.02632,31.14814814814815,16193.925925925925,2.0
James Taylor,13,9,14243,0.04783,0.00214,0.01307,36.55555555555556,25332.555555555555,2.0
Beastie Boys,21,12,21079,0.07174,0.00437,0.04011,28.0,19333.166666666668,3.0
Bay City Rollers,1,5,13167,0.01304,0.00153,0.00365,21.0,16771.4,0.0
The Kinks,10,13,19877,0.05,0.00197,0.01289,28.615384615384617,17398.615384615383,2.0
Mitch Ryder,3,7,2534,0.02174,0.00059,0.00309,30.0,17662.428571428572,4.0
The Four Seasons (band),2,3,14686,0.01087,0.00019,0.00029,56.0,30975.0,2.0
Sly and the Family Stone,9,8,9229,0.03696,0.00224,0.01438,27.625,17052.375,3.0
Live (band),13,10,5593,0.05,0.00269,0.0118,16.5,10512.9,3.0
R.E.M.,23,17,19849,0.08696,0.00636,0.03395,40.35294117647059,21493.882352941175,0.0
Sublime (band),5,10,7690,0.03261,0.00073,0.00206,32.2,20276.7,0.0
Blur (band),10,8,13277,0.03913,0.00106,0.0064,51.375,22421.0,0.0
Sonic Youth,16,10,12345,0.05652,0.00117,0.0394,46.8,24645.1,0.0
X (American band),4,1,5128,0.01087,1e-05,0.00323,58.0,21443.0,0.0
Tom Petty,24,22,15089,0.1,0.00754,0.04709,29.772727272727273,18845.727272727272,2.0
The Zombies,1,4,8357,0.01087,3e-05,0.00136,34.75,25698.75,2.0
INXS,10,19,14224,0.06304,0.00606,0.00708,30.63157894736842,19168.526315789473,0.0
Fun (band),3,4,4051,0.01522,0.00025,0.00297,35.5,28032.0,0.0
Talking Heads,23,13,8756,0.07826,0.00823,0.02111,25.846153846153847,17397.53846153846,0.0
Sting (musician),22,18,18457,0.08696,0.00382,0.03887,33.5,24939.833333333332,2.0
Imagine Dragons,4,15,17673,0.0413,0.00687,0.00328,26.0,21161.8,0.0
Chubby Checker,3,4,7080,0.01522,9e-05,0.00377,43.75,21764.0,2.0
Jerry Lee Lewis,18,8,15041,0.05652,0.00166,0.04087,33.5,19606.75,2.0
Eric Clapton,51,32,31296,0.18043,0.01503,0.10124,32.625,21549.46875,2.0
Roy Orbison,19,27,16508,0.1,0.00512,0.04096,38.55555555555556,23244.14814814815,2.0
Phil Collins,19,29,30523,0.10435,0.00683,0.04025,40.6551724137931,24760.724137931036,2.0
Glenn Frey,8,6,8652,0.03043,0.00013,0.00867,18.333333333333332,14260.333333333334,2.0
Bill Haley & His Comets,5,4,10065,0.01957,0.00024,0.01141,31.5,20611.0,2.0
Tommy James and the Shondells,1,1,3967,0.00435,0.0,0.0005,11.0,11822.0,0.0
Simple Minds,11,14,17330,0.05435,0.00297,0.01396,26.0,20611.785714285714,0.0
The Everly Brothers,7,13,9036,0.04348,0.00106,0.02081,37.07692307692308,23691.615384615383,2.0
Bo Diddley,16,11,12866,0.0587,0.0039,0.02857,28.727272727272727,17758.81818181818,2.0
John Mellencamp,13,14,15332,0.0587,0.0022,0.02188,33.0,22637.285714285714,2.0
John Mayer,11,10,28001,0.04565,0.00273,0.01329,22.7,18085.3,2.0
Joe Cocker,12,15,7295,0.0587,0.00213,0.01221,39.13333333333333,26234.066666666666,2.0
Rainbow (rock band),14,5,5996,0.0413,0.00048,0.03348,36.4,15704.2,1.0
Santana (band),18,5,7464,0.05,0.00146,0.01921,40.6,25787.8,4.0
Billy Talent,4,17,7795,0.04565,0.00037,0.00147,27.88235294117647,24059.70588235294,3.0
The Tragically Hip,5,7,10304,0.02609,0.00072,0.00199,34.0,27498.0,2.0
Muse (band),17,16,15904,0.07174,0.00479,0.02444,41.75,24724.5625,0.0
Whitesnake,25,31,27107,0.12174,0.0088,0.05182,29.419354838709676,16172.064516129032,1.0
Quiet Riot,16,19,10828,0.07609,0.00291,0.04139,32.68421052631579,19571.36842105263,1.0
Great White,4,19,9634,0.05,0.00024,0.0124,32.73684210526316,19998.63157894737,1.0
John Mayall & the Bluesbreakers,7,8,1896,0.03261,0.00082,0.02,29.5,20851.0,2.0
Golden Earring,2,8,3867,0.02174,0.00015,0.01394,52.875,22454.625,1.0
Highly Suspect,1,9,4691,0.02174,0.00012,0.00027,26.77777777777778,14991.333333333334,3.0
Tracy Chapman,2,1,7588,0.00652,2e-05,0.00028,13.0,18703.0,3.0
Social Distortion,11,14,9092,0.05435,0.00472,0.01373,29.642857142857142,17024.214285714286,0.0
Dropkick Murphys,5,5,14550,0.02174,0.00031,0.00436,43.4,30353.8,0.0
Coheed and Cambria,3,20,11456,0.05,0.00038,0.00793,38.2,20608.4,3.0
Depeche Mode,26,27,21630,0.11522,0.00729,0.03591,34.74074074074074,25062.222222222223,0.0
Jimmy Eat World,11,10,7902,0.04565,0.00128,0.005,32.5,24548.2,0.0
