Node,In Degree,Out Degree,Content Length,Degree Centrality,Betweenness Centrality,Eigenvector Centrality,Avg Successor In-Degree,Avg Successor Content Length,Louvain Community
Aerosmith,47,38,30904,0.18478,0.02191,0.12281,31.157894736842106,17285.63157894737,1.0
Blue Öyster Cult,11,26,10735,0.08043,0.00255,0.0209,31.807692307692307,18555.23076923077,1.0
Cheap Trick,30,10,7171,0.08696,0.00381,0.05751,43.4,18978.8,4.0
Slade,13,33,20696,0.1,0.00677,0.03289,39.06060606060606,21548.090909090908,1.0
Dio (band),18,13,4972,0.06739,0.00212,0.046,32.61538461538461,20120.23076923077,1.0
Thin Lizzy,24,36,14436,0.13043,0.01304,0.07387,40.833333333333336,24747.027777777777,1.0
Alice Cooper,58,40,28435,0.21304,0.02545,0.11108,38.5,23857.675,1.0
Audioslave,11,12,13520,0.05,0.00087,0.02676,46.333333333333336,24532.75,3.0
Def Leppard,39,51,16536,0.19565,0.02329,0.08001,33.627450980392155,21075.78431372549,1.0
Judas Priest,45,34,22735,0.17174,0.00664,0.12777,44.411764705882355,22637.735294117647,1.0
Metallica,85,47,34817,0.28696,0.02662,0.18847,35.191489361702125,22613.297872340427,1.0
Slayer,40,34,26620,0.16087,0.00468,0.10283,35.088235294117645,20489.58823529412,1.0
Elton John,66,24,41384,0.19565,0.02086,0.13153,36.583333333333336,27055.75,2.0
Accept (band),17,18,7451,0.07609,0.00093,0.05885,39.166666666666664,23934.444444444445,1.0
W.A.S.P. (band),13,12,6285,0.05435,0.00129,0.03928,37.166666666666664,20746.166666666668,1.0
Damn Yankees (band),4,5,2509,0.01957,0.0001,0.00717,26.6,14099.2,4.0
Megadeth,34,42,30434,0.16522,0.00569,0.10918,39.30952380952381,23041.904761904763,1.0
Motörhead,24,23,21636,0.10217,0.00476,0.08241,36.82608695652174,21097.82608695652,1.0
Stone Sour,11,12,6869,0.05,0.00093,0.02762,26.916666666666668,17803.666666666668,3.0
Pantera,39,41,16655,0.17391,0.00606,0.09155,34.09756097560975,20400.585365853658,1.0
Anthrax (American band),34,34,14855,0.14783,0.00606,0.10273,35.911764705882355,21925.529411764706,1.0
Mötley Crüe,44,33,30828,0.16739,0.01269,0.11651,34.515151515151516,21579.78787878788,1.0
Alice in Chains,50,72,33098,0.26522,0.03632,0.12319,33.833333333333336,19570.805555555555,1.0
Soundgarden,46,24,20775,0.15217,0.00714,0.10266,46.166666666666664,24506.25,3.0
Sex Pistols,50,18,19066,0.14783,0.01035,0.09849,38.5,23608.88888888889,0.0
T. Rex (band),22,12,10314,0.07391,0.00484,0.03781,28.25,20851.083333333332,0.0
Iggy Pop,26,19,17438,0.09783,0.00523,0.053,34.578947368421055,24638.63157894737,0.0
Rod Stewart,32,22,21480,0.11739,0.0088,0.05165,33.90909090909091,23197.0,2.0
Stevie Nicks,21,18,22989,0.08478,0.00541,0.02589,30.38888888888889,17163.38888888889,2.0
Morrissey,15,20,30949,0.07609,0.00539,0.01863,35.3,20883.5,0.0
Oasis (band),29,15,20724,0.09565,0.00756,0.03348,32.8,21279.933333333334,0.0
Gene Vincent,6,9,7149,0.03261,0.00344,0.01049,22.333333333333332,18127.666666666668,2.0
Eddie Cochran,15,20,7470,0.07609,0.00397,0.02798,44.65,22040.8,2.0
Run-DMC,12,12,8999,0.05217,0.00156,0.02574,30.666666666666668,23566.75,3.0
Harry Nilsson,13,12,8720,0.05435,0.0025,0.02597,34.916666666666664,24887.75,2.0
Nirvana (band),72,16,15468,0.1913,0.01057,0.13898,43.6875,23416.1875,0.0
Kid Rock,16,16,18057,0.06957,0.00375,0.03183,28.4375,19700.0625,3.0
Train (band),5,18,11952,0.05,0.00507,0.00609,33.94444444444444,18460.88888888889,2.0
Limp Bizkit,25,38,30754,0.13696,0.00555,0.06205,29.763157894736842,20457.973684210527,3.0
Lenny Kravitz,11,15,13002,0.05652,0.00157,0.02417,53.333333333333336,24243.666666666668,2.0
Joan Jett,10,14,11575,0.05217,0.00141,0.02287,45.214285714285715,23650.35714285714,0.0
Pearl Jam,58,23,21443,0.17609,0.01594,0.10049,44.0,23325.043478260868,3.0
The Black Crowes,2,10,6157,0.02609,0.0003,0.00564,41.4,21646.7,1.0
New York Dolls,19,32,10716,0.11087,0.00742,0.04212,36.59375,22340.15625,0.0
Van Halen,51,20,17675,0.15435,0.01277,0.11827,28.5,17531.25,1.0
Ratt,18,17,7465,0.07609,0.00219,0.04838,37.588235294117645,19772.41176470588,1.0
Tesla (band),7,6,4732,0.02826,0.00024,0.01166,55.5,21197.833333333332,1.0
Cinderella (band),6,13,3988,0.0413,0.00063,0.02053,28.307692307692307,14919.76923076923,1.0
Skid Row (American band),21,14,8627,0.07609,0.00272,0.06539,44.92857142857143,22267.428571428572,1.0
Extreme (band),8,5,3988,0.02826,0.00019,0.02776,43.2,20221.6,1.0
Warrant (American band),6,11,4870,0.03696,0.00029,0.01125,34.63636363636363,21619.909090909092,1.0
