aktørid,aktør,relation_start,relation_end,party_clean
263,Mette Hjermind Dencker,2011-09-15,2022-10-03,Dansk Folkeparti
264,Rasmus Prehn,2022-11-01,2024-09-30,Socialdemokratiet
265,Eva Kjer Hansen,1991-10-01,2022-10-03,Venstre
266,Rasmus Horn Langhoff,2011-09-15,2022-10-03,Socialdemokratiet
268,Helle Løvgreen Mølvig,2014-08-01,2014-10-06,Radikale Venstre
270,Claus Hjort Frederiksen,2007-11-13,2022-10-03,Venstre
271,Kristian Jensen,1998-10-06,2020-10-05,Venstre
272,Ole Hækkerup,1998-10-06,2015-11-12,Socialdemokratiet
273,Per Husted,2009-03-24,2023-10-02,Socialdemokratiet
276,Pernille Boye Koch,2013-01-01,2013-10-20,Radikale Venstre
276,Pernille Boye Koch,2013-10-21,2025-12-02,Radikale Venstre
276,Pernille Boye Koch,2013-10-21,2013-10-20,Uden for Folketingsgrupperne
277,Johan Lund Olsen,2013-09-08,2014-10-06,Inuit Ataqatigiit
278,Karin Gaardsted,2011-09-15,2021-02-21,Socialdemokratiet
279,Tina Nedergaard,2002-10-01,2014-10-06,Venstre
280,Karen J. Klint (udpeget af S),2007-11-13,2011-11-17,Socialdemokratiet
281,Finn Thranum,2011-12-06,2014-10-06,Venstre
282,Sanne Bjørn,2014-04-29,2017-01-30,Radikale Venstre
286,Ane Halsboe-Jørgensen,2011-09-15,2022-10-03,Socialdemokratiet
288,Torben Hansen (udpeget af S),2002-10-01,2014-10-06,Socialdemokratiet
294,Doris Jakobsen,2009-10-08,2015-02-11,Siumut
296,Ulla Tørnæs,1994-10-04,2022-10-03,Venstre
297,Maja Panduro (udpeget af S),2009-08-05,2019-05-07,Socialdemokratiet
302,Benedikte Kiær,2011-09-15,2013-09-30,Det Konservative Folkeparti
303,Anita Christensen,2007-11-15,2015-05-27,Dansk Folkeparti
304,Jacob Lund,2011-11-29,2014-10-06,Socialdemokratiet
305,Jens Ejner Christensen,2014-07-01,2014-10-06,Venstre
343,Mie Bergmann,2013-01-10,2014-10-21,Radikale Venstre
344,Linda Kristiansen,2012-10-23,2025-12-02,Radikale Venstre
348,Villy Søvndal,1994-08-01,2013-09-30,Socialistisk Folkeparti
350,Gitte Lillelund Bech,1999-10-01,2012-10-01,Venstre
351,Sophie Hæstorp Andersen,2002-10-01,2013-12-03,Socialdemokratiet
352,Henrik Dam Kristensen,1992-10-06,2022-10-03,Socialdemokratiet
353,Lykke Friis,2011-09-15,2012-10-01,Venstre
354,Mette Boye,2013-04-30,2025-12-02,Socialistisk Folkeparti
362,Vivi Kier,2007-11-13,2013-09-30,Det Konservative Folkeparti
363,Jacob Bjerregaard,2011-09-15,2013-09-30,Socialdemokratiet
364,Birthe Rønn Hornbech,1984-10-02,2014-10-06,Venstre
365,Karen Jespersen,1991-10-01,2007-11-12,Socialdemokratiet
365,Karen Jespersen,2007-11-13,2014-10-06,Venstre
366,Daniel Toft Jakobsen,2012-10-23,2022-10-03,Socialdemokratiet
367,Karen Touborg,2013-04-04,2025-12-02,Socialistisk Folkeparti
370,Thomas Medom,2013-10-01,2013-09-30,Socialistisk Folkeparti
371,Niels Christian Nielsen,2008-11-03,2013-06-24,Socialdemokratiet
376,Annika Smith,2013-11-26,2025-12-02,Socialistisk Folkeparti
378,Merete Dea Larsen,2011-10-27,2018-10-01,Dansk Folkeparti
379,Kristen Touborg,1994-10-04,2013-10-22,Socialistisk Folkeparti
384,Mogens Lykketoft,1987-09-08,2016-09-30,Socialdemokratiet
386,Claus Larsen-Jensen (udpeget af),1998-10-06,2017-10-08,Socialdemokratiet
645,Christian Mejdahl,1987-10-06,2003-10-06,Venstre
646,Jens Hald,1994-09-21,2003-10-06,Venstre
647,Charlotte Antonsen (udpeget af V),1991-10-01,2003-10-06,Venstre
648,Carina Christensen,2002-10-01,2010-10-04,Det Konservative Folkeparti
649,Jakob Axel Nielsen,2007-11-13,2010-10-04,Det Konservative Folkeparti
650,Hüseyin Arac,2010-10-26,2025-12-02,Socialdemokratiet
651,Jens Christian Lund,2007-11-13,2010-10-04,Socialdemokratiet
652,Lene Jensen,2002-10-01,2003-10-06,Socialdemokratiet
653,Lise von Seelen,2007-11-13,2010-10-04,Socialdemokratiet
654,Lone Dybkjær,1974-10-01,2010-10-04,Radikale Venstre
654,Lone Dybkjær,2010-10-05,2011-04-15,Radikale Venstre
655,Rune Lund,2007-10-13,2021-10-04,Enhedslisten
656,Jesper Kiel,2005-01-13,2017-11-29,Enhedslisten
657,Pia Larsen,1991-10-01,2003-10-06,Venstre
660,Svend Erik Hovmand,1976-10-05,2003-10-06,Venstre
661,Jens Rohde,1998-10-06,2019-06-04,Venstre
661,Jens Rohde,2019-06-05,2021-01-26,Radikale Venstre
661,Jens Rohde,2021-01-27,2021-04-26,Uden for Folketingsgrupperne
661,Jens Rohde,2021-04-27,2022-08-25,Kristendemokraterne
661,Jens Rohde,2022-08-26,2022-10-03,Uden for Folketingsgrupperne
662,Poul Nødgaard,1991-10-01,1995-10-05,Fremskridtspartiet
662,Poul Nødgaard,1995-10-06,2005-02-07,Dansk Folkeparti
663,Christian H. Hansen,1998-10-06,2010-01-31,Dansk Folkeparti
663,Christian H. Hansen,2010-02-01,2010-10-04,Uden for Folketingsgrupperne
664,Pia Christmas-Møller,1988-05-10,2007-12-04,Det Konservative Folkeparti
664,Pia Christmas-Møller,2007-12-05,2010-10-04,Uden for Folketingsgrupperne
665,Helge Adam Møller,1987-09-08,2010-10-04,Det Konservative Folkeparti
666,Jørn Pedersen,1991-10-01,2007-05-07,Socialdemokratiet
667,Søren Egge Rasmussen,2005-12-12,2022-10-03,Enhedslisten
668,Naser Khader,2002-10-01,2007-05-08,Radikale Venstre
668,Naser Khader,2007-05-09,2007-07-09,Uden for Folketingsgrupperne
668,Naser Khader,2007-07-10,2008-08-27,Ny Alliance
668,Naser Khader,2008-08-28,2009-01-04,Liberal Alliance
668,Naser Khader,2009-01-05,2009-03-17,Uden for Folketingsgrupperne
668,Naser Khader,2009-03-18,2021-08-18,Det Konservative Folkeparti
668,Naser Khader,2021-08-19,2022-10-03,Uden for Folketingsgrupperne
669,Frank Jensen,1987-10-06,2003-10-06,Socialdemokratiet
670,Lars Emil Johansen,2002-10-01,2010-10-04,Siumut
671,Niels Helveg Petersen,1967-10-03,2010-10-04,Radikale Venstre
671,Niels Helveg Petersen,2010-10-05,2025-12-02,Radikale Venstre
672,Kuupik Kleist,2001-11-20,2003-10-06,Inuit Ataqatigiit
675,Hanne Severinsen,1984-10-02,2003-10-06,Venstre
676,Søren Krarup,2002-10-01,2010-10-04,Dansk Folkeparti
677,Jesper Langballe,2002-10-01,2010-10-04,Dansk Folkeparti
678,Klaus Hækkerup (udpeget af S),1988-10-04,2010-10-04,Socialdemokratiet
679,Per Kaalund,1994-10-04,2003-10-06,Socialdemokratiet
680,Morten Helveg Petersen,1998-10-06,2008-10-06,Radikale Venstre
725,Preben Rudiengaard,1998-03-11,2010-10-04,Venstre
794,Lene Garsdal,2001-10-01,2003-10-06,Socialistisk Folkeparti
801,Lene Hansen,2007-11-13,2009-10-05,Socialdemokratiet
856,Line Barfod,2002-10-01,2010-10-04,Enhedslisten
918,Lisbeth Petersen,2002-10-01,2003-10-06,Venstre
920,Lise Hækkerup,1991-10-01,2004-11-10,Socialdemokratiet
951,Lissa Mathiasen,1984-01-10,2003-10-06,Socialdemokratiet
1023,Lone Møller (udpeget af S),1987-10-06,2010-10-04,Socialdemokratiet
1039,Lotte Bundsgaard,1998-10-06,2003-10-06,Socialdemokratiet
1044,Lotte Thiim Bertelsen,2006-10-05,2025-12-02,Socialistisk Folkeparti
1047,Louise Frevert,2002-10-01,2007-05-08,Dansk Folkeparti
1047,Louise Frevert,2007-05-09,2025-12-02,Uden for Folketingsgrupperne
1067,Lykke Roed,2004-10-19,2025-12-02,Dansk Folkeparti
1085,Majbrit Berlau,2005-03-31,2005-10-12,Enhedslisten
1087,Malene Søgaard-Andersen,2010-10-14,2025-12-02,Socialistisk Folkeparti
1090,Malou Aamund,2007-11-13,2008-02-06,Ny Alliance
1090,Malou Aamund,2008-02-07,2010-10-04,Venstre
1094,Margot Torp,1998-10-06,2004-07-07,Socialdemokratiet
1115,Marianne Pedersen,2002-10-01,2003-10-06,Venstre
1116,Marianne Saxtoft,2006-01-23,2007-01-21,Radikale Venstre
1121,Marie Fugl,2005-10-27,2007-05-07,Socialistisk Folkeparti
1124,Marion Pedersen,2004-10-19,2010-10-04,Venstre
1146,Marlene Harpsøe,2007-11-13,2022-10-31,Dansk Folkeparti
1146,Marlene Harpsøe,2022-11-01,2025-10-06,Danmarksdemokraterne
1162,Meta Fuglsang,2009-02-02,2012-01-16,Socialistisk Folkeparti
1172,Mia Falkenberg,2005-06-17,2007-11-12,Dansk Folkeparti
1183,Michael Thomsen,2006-02-07,2025-12-02,Socialistisk Folkeparti
1201,Mogens Camre,1968-10-01,2007-11-12,Socialdemokratiet
1201,Mogens Camre,2007-11-13,2025-12-02,Dansk Folkeparti
1219,Mogens Nørgård,2002-09-10,2003-10-29,Kristendemokraterne
1219,Mogens Nørgård,2003-10-30,2025-12-02,Kristendemokraterne
1234,Morten Homann,2002-10-01,2003-10-06,Socialistisk Folkeparti
1250,Jan Trøjborg,1987-10-06,2003-10-06,Socialdemokratiet
1256,Pia Gjellerup (udpeget af S),1987-10-06,2003-10-06,Socialdemokratiet
1258,Nanna Westerby,2007-11-13,2010-12-17,Socialistisk Folkeparti
1269,Niels Høiby,2011-06-05,2025-12-02,Liberal Alliance
1280,Niels Sindal,2002-10-01,2010-10-04,Socialdemokratiet
1299,Helle Sjelle,2002-10-01,2012-10-23,Det Konservative Folkeparti
1319,Ole Stavad (udpeget af S),1980-10-07,2003-10-06,Socialdemokratiet
1325,Ole Vagn Christensen,1984-10-02,2010-10-04,Socialdemokratiet
1334,Peter Laigaard,2014-10-22,2025-12-02,Liberal Alliance
1353,Peder Sass,1991-10-01,2003-10-06,Socialdemokratiet
1357,Helge Sander,1984-10-02,2010-10-04,Venstre
1358,Julie Rademacher,2007-11-13,2010-10-04,Socialdemokratiet
1362,Per Bisgaard,2007-11-13,2010-11-18,Venstre
1371,Per Dalgaard,2002-10-01,2010-10-04,Dansk Folkeparti
1375,Per Løkken,2009-10-28,2015-02-02,Det Konservative Folkeparti
1378,Per Ørum Jørgensen,2005-02-08,2010-05-19,Det Konservative Folkeparti
1378,Per Ørum Jørgensen,2010-05-20,2010-06-20,Uden for Folketingsgrupperne
1378,Per Ørum Jørgensen,2010-06-21,2010-10-04,Kristendemokraterne
1385,Pernille Frahm (udpeget af SF),1991-10-01,2010-10-04,Socialistisk Folkeparti
1392,Pernille Søndergaard,2008-01-15,2025-12-02,Enhedslisten
1393,Pernille Blach Hansen,1998-10-06,2003-10-06,Socialdemokratiet
1398,Peter Brixtofte,1974-10-01,2002-05-15,Venstre
1398,Peter Brixtofte,2002-05-16,2003-10-06,Uden for Folketingsgrupperne
1410,Peter Madsen,2010-05-03,2010-10-04,Venstre
1413,Peter Westermann,2010-10-05,2025-12-02,Socialistisk Folkeparti
1414,Peter Christian Christensen,1994-10-04,1997-10-06,Socialdemokratiet
1417,Pia Boisen,2004-10-18,2025-12-02,Enhedslisten
1431,Pia Kristensen,2002-10-01,2005-02-07,Dansk Folkeparti
1433,Poul Fischer,2002-10-01,2004-11-13,Dansk Folkeparti
1444,Poul Henrik Hedeboe,2004-07-16,2025-12-02,Socialistisk Folkeparti
1447,Poul Qvist Jørgensen,1984-10-02,2003-10-06,Socialdemokratiet
1454,Rasmus Jarlov,2010-01-12,2022-10-03,Det Konservative Folkeparti
1455,René Skau Björnsson,1998-10-06,2014-11-03,Socialdemokratiet
1461,Rikke Hvilshøj,1998-10-06,2007-11-12,Venstre
1463,Ritt Bjerregaard,1971-10-05,2003-10-06,Socialdemokratiet
1470,Sandy Brinck,1999-09-16,2003-10-06,Socialdemokratiet
1471,Sanne Schroll,2007-03-20,2025-12-02,Socialistisk Folkeparti
1473,Sidsel Homann,2005-12-08,2008-10-08,Socialistisk Folkeparti
1474,Sidsel Leth Svensson,2006-05-15,2025-12-02,Det Konservative Folkeparti
1478,Simon Pihl Sørensen,2006-01-10,2007-04-09,Socialdemokratiet
1484,Sofia Rossen,2007-04-10,2010-01-11,Inuit Ataqatigiit
1495,Bendt Bendtsen,1994-10-04,2003-10-06,Det Konservative Folkeparti
