aktørid,aktør,relation_start,relation_end,party_clean
20377,Henrik Frandsen,2022-11-01,2025-10-06,Moderaterne
20378,Rosa Eriksen,2022-11-01,2025-10-06,Moderaterne
20379,Tobias Grotkjær Elmstrøm,2022-11-01,2024-09-30,Moderaterne
20380,Monika Rubin,2022-11-01,2024-09-30,Moderaterne
20381,Karin Liltorp,2022-11-01,2025-02-23,Moderaterne
20381,Karin Liltorp,2025-02-24,2025-03-03,Uden for Folketingsgrupperne
20381,Karin Liltorp,2025-03-04,2025-10-06,Alternativet
20382,Mette Kierkgaard,2022-11-01,2025-10-06,Moderaterne
20383,Jeppe Søe,2022-11-01,2024-09-05,Moderaterne
20383,Jeppe Søe,2024-09-06,2025-10-06,Uden for Folketingsgrupperne
20384,Nanna W. Gotfredsen,2022-11-01,2025-10-06,Moderaterne
20385,Charlotte Bagge Hansen,2022-11-01,2025-10-06,Moderaterne
20386,Rasmus Lund-Nielsen,2022-11-01,2025-10-06,Moderaterne
20387,Kristian Klarskov,2022-11-01,2025-12-02,Moderaterne
20388,Jon Stephensen,2022-11-01,2023-08-23,Moderaterne
20388,Jon Stephensen,2023-08-24,2025-10-06,Uden for Folketingsgrupperne
20389,Peter Have,2022-11-01,2025-10-06,Moderaterne
20390,Mike Villa Fonseca,2022-11-01,2023-11-17,Moderaterne
20390,Mike Villa Fonseca,2023-11-18,2025-10-06,Uden for Folketingsgrupperne
20391,Sólbjørg Jakobsen,2022-11-01,2025-10-06,Liberal Alliance
20392,Lars-Christian Brask,2022-11-01,2025-10-06,Liberal Alliance
20393,Katrine Daugaard,2022-11-01,2025-10-06,Liberal Alliance
20394,Steffen W. Frølund,2022-11-01,2025-10-06,Liberal Alliance
20395,Alexander Ryle,2022-11-01,2025-10-06,Liberal Alliance
20396,Jens Meilvang,2022-11-01,2025-10-06,Liberal Alliance
20397,Steffen Larsen,2022-11-01,2025-10-06,Liberal Alliance
20398,Helena Artmann Andresen,2022-11-01,2025-10-06,Liberal Alliance
20399,Louise Brown,2022-11-01,2025-10-06,Liberal Alliance
20400,Sandra Elisabeth Skalvig,2022-11-01,2025-10-06,Liberal Alliance
20411,Leila Stockmarr,2022-11-22,2025-10-06,Enhedslisten
20415,Mohammad Rona,2022-11-24,2025-10-06,Moderaterne
20496,Henrik Rejnholt Andersen,2023-01-19,2025-10-06,Moderaterne
20527,Nanna Høyrup,2023-05-01,2025-12-02,Alternativet
20539,Noah Sturis,2023-03-28,2025-12-02,Alternativet
20559,Reza Javid,2023-03-28,2025-12-02,Enhedslisten
20580,Lean Milo,2023-04-27,2023-08-17,Moderaterne
20580,Lean Milo,2023-08-18,2025-12-02,Uden for Folketingsgrupperne
20599,Søren Rasmussen,2023-08-10,2023-10-02,Dansk Folkeparti
20629,Nikoline Erbs Hillers-Bendtsen,2023-09-07,2024-12-17,Alternativet
20635,Markus E. Olsen,2023-09-22,2023-10-02,Siumut
20642,Anne Hegelund,2023-09-07,2023-10-02,Enhedslisten
20747,Jenny Andresen,2023-11-01,2025-12-02,Danmarksdemokraterne
20767,Andreas Karlsen,2023-11-01,2025-12-02,Det Konservative Folkeparti
20779,Runa Friis Hansen,2023-11-07,2025-12-02,Enhedslisten
20781,Gunvor Wibroe,2023-11-02,2025-10-06,Socialdemokratiet
20790,Ken Kristensen,2023-11-20,2025-05-25,Venstre
20798,Mads Olsen,2023-11-30,2025-10-06,Socialistisk Folkeparti
20805,Jan Carlsen,2023-11-23,2025-12-02,Moderaterne
20820,Carl Andersen,2023-12-07,2025-10-06,Liberal Alliance
20823,Morten Vehl,2023-12-12,2025-12-02,Danmarksdemokraterne
20841,Lars Arne Christensen,2024-02-01,2025-12-02,Moderaterne
20916,Kenneth Bjerg Andersen,2024-02-20,2025-12-02,Moderaterne
20917,Tina Cartey Hansen,2024-02-20,2025-10-06,Det Konservative Folkeparti
20925,Dina Raabjerg,2024-03-03,2025-10-06,Det Konservative Folkeparti
20930,Louise Mehnke,2024-03-19,2025-10-06,Socialdemokratiet
20941,Preben Friis-Hauge,2024-04-04,2025-12-02,Venstre
20962,Claus Jørgensen,2024-05-28,2025-10-06,Socialistisk Folkeparti
20966,Frederik Bloch Münster,2024-06-26,2025-10-06,Det Konservative Folkeparti
21044,Lasse Haugaard Pedersen,2024-10-10,2025-10-06,Socialdemokratiet
21075,Michael Rosenmark,2024-10-30,2025-12-02,Danmarksdemokraterne
21076,Charlotte Nellemann,2024-10-30,2025-12-02,Liberal Alliance
21083,Thorkild Holmboe-Hay,2024-11-04,2025-10-06,Socialdemokratiet
21143,Morten Klessen,2025-02-28,2025-10-06,Socialdemokratiet
21159,Ammar Ali,2025-04-22,2025-10-06,Moderaterne
21161,Lisa Perkins,2025-04-24,2025-12-02,Liberal Alliance
21168,Erik Veje Rasmussen,2025-07-01,2025-10-06,Venstre
21186,Mads Madsen Henriksen,2025-09-04,2025-10-06,Socialdemokratiet
21194,Joachim Hoffmann-Petersen,2025-09-09,2025-10-06,Det Konservative Folkeparti
21206,Elvira Kûitse,2025-09-19,2025-10-06,Naleraq
