aktørid,aktør,party,block,relation_start,relation_end
190,Thyra Frank,Liberal Alliance,1,2011-09-15,2014-11-07
191,Zenia Stampe,Radikale Venstre,1,2011-09-15,2022-10-03
192,Fatma Øktem,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
193,Karsten Nonbo,"Venstre, Danmarks Liberale Parti",1,2000-10-03,2011-10-03
194,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
195,Pernille Vigsø Bagge,Socialistisk Folkeparti,1,2007-11-13,2014-12-19
197,Mette Gjerskov,Socialdemokratiet,1,2007-11-13,2020-10-05
198,Anne Baastrup,Socialistisk Folkeparti,1,1994-10-04,2014-10-06
199,Karsten Hønge,Socialistisk Folkeparti,1,2022-11-01,2025-10-06
200,Jane Heitmann,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
201,Thomas Jensen,Socialdemokratiet,1,2007-11-13,2013-11-11
202,Peder Christensen,Socialdemokratiet,1,2013-10-21,2014-03-17
205,Jonas Dahl,Socialistisk Folkeparti,1,2007-11-13,2015-10-05
206,Troels Lund Poulsen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
207,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2022-10-03
208,Simon Kollerup,Socialdemokratiet,1,2022-11-01,2025-10-06
209,Camilla Hersom,Radikale Venstre,1,2011-09-15,2014-10-06
210,Birgitte Josefsen,"Venstre, Danmarks Liberale Parti",1,2004-10-19,2014-10-06
211,Jørn Dohrmann,Dansk Folkeparti,1,2002-10-01,2013-09-30
212,Eyvind Vesselbo,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2014-10-06
213,Jens Joel,Socialdemokratiet,1,2011-09-15,2022-10-03
214,Jeppe Bruus,Socialdemokratiet,1,2013-11-05,2022-10-31
215,Jørgen Arbo-Bæhr,Enhedslisten,1,2011-09-15,2014-10-06
216,Mikkel Dencker,Dansk Folkeparti,1,2002-10-01,2018-10-01
217,Lars Christian Lilleholt,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2021-10-04
219,Lisbeth Bech-Nielsen,Socialistisk Folkeparti,1,2011-09-15,2022-10-03
220,Morten Bødskov,Socialdemokratiet,1,2002-10-01,2022-10-03
221,Pia Adelsteen,Dansk Folkeparti,1,2007-11-13,2018-10-01
223,Henrik Høegh,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2014-10-06
224,Flemming Møller Mortensen,Socialdemokratiet,1,2022-11-01,2025-10-06
225,Uffe Elbæk,Alternativet,3,2015-03-13,2020-03-09
225,Uffe Elbæk,Alternativet,6,2022-09-17,2022-10-03
225,Uffe Elbæk,"Frie Grønne, Danmarks Nye Venstrefløjsparti",5,2021-11-03,2022-09-16
225,Uffe Elbæk,Radikale Venstre,1,2011-09-15,2013-09-16
225,Uffe Elbæk,Uden for folketingsgrupperne - Uffe Elbæk,2,2013-09-17,2015-03-12
225,Uffe Elbæk,Uden for folketingsgrupperne - Uffe Elbæk,4,2020-03-10,2021-11-02
226,Ole Sohn,Socialistisk Folkeparti,1,1998-10-06,2013-09-30
231,Manu Sareen,Radikale Venstre,1,2011-01-01,2014-10-06
234,Anders Fogh Rasmussen,"Venstre, Danmarks Liberale Parti",1,1978-10-01,2007-11-12
235,Jeppe Kofod,Socialdemokratiet,1,1998-10-06,2013-09-30
238,Morten Messerschmidt,Dansk Folkeparti,1,2005-02-08,2007-05-02
238,Morten Messerschmidt,Dansk Folkeparti,3,2007-05-31,2022-10-03
238,Morten Messerschmidt,Uden for folketingsgrupperne - Morten Messerschmidt,2,2007-05-03,2007-05-30
244,Magnus Heunicke,Socialdemokratiet,1,2007-11-13,2022-10-03
245,Leif Mikkelsen,Liberal Alliance,4,2011-09-15,2018-11-07
245,Leif Mikkelsen,Ny Alliance,3,2007-07-10,2011-09-14
245,Leif Mikkelsen,Uden for folketingsgrupperne - Leif Mikkelsen,2,2007-05-11,2007-07-09
245,Leif Mikkelsen,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2007-05-10
246,Orla Hav,Socialdemokratiet,1,2007-11-13,2022-10-03
247,Edmund Joensen,Sambandsflokkurin,2,2007-11-13,2022-10-03
247,Edmund Joensen,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2007-11-12
249,Kirsten Brosbøl (udpeget af S),Socialdemokratiet,1,2007-11-13,2018-10-01
252,Pia Kjærsgaard,Dansk Folkeparti,2,1995-10-06,2022-10-03
252,Pia Kjærsgaard,Fremskridtspartiet,1,1984-10-02,1995-10-05
257,Bjarne Laustsen,Socialdemokratiet,1,2007-11-13,2020-10-05
258,Poul Andersen,Socialdemokratiet,1,1992-10-06,2013-09-30
259,Anne-Mette Winther Christiansen (udpeget af V),"Venstre, Danmarks Liberale Parti",1,2007-11-13,2014-10-06
260,Leif Lahn Jensen,Socialdemokratiet,1,2007-11-13,2022-10-03
261,Esben Lunde Larsen,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2017-10-02
262,Sjúrður Skaale,Javnaðarflokkurin,1,2022-11-01,2025-10-06
263,Mette Hjermind Dencker,Dansk Folkeparti,1,2011-09-15,2022-10-03
264,Rasmus Prehn,Socialdemokratiet,1,2022-11-01,2024-09-30
265,Eva Kjer Hansen,"Venstre, Danmarks Liberale Parti",1,1991-10-01,2022-10-03
266,Rasmus Horn Langhoff,Socialdemokratiet,1,2011-09-15,2022-10-03
268,Helle Løvgreen Mølvig,Radikale Venstre,1,2014-08-01,2014-10-06
270,Claus Hjort Frederiksen,"Venstre, Danmarks Liberale Parti",1,2007-11-13,2022-10-03
271,Kristian Jensen,"Venstre, Danmarks Liberale Parti",1,1998-10-06,2020-10-05
272,Ole Hækkerup,Socialdemokratiet,1,1998-10-06,2015-11-12
273,Per Husted,Socialdemokratiet,1,2009-03-24,2023-10-02
276,Pernille Boye Koch,Radikale Venstre,1,2013-01-01,2013-10-20
276,Pernille Boye Koch,Radikale Venstre,3,2013-10-21,
276,Pernille Boye Koch,Uden for folketingsgrupperne - Uffe Elbæk,2,2013-10-21,2013-10-20
277,Johan Lund Olsen,Inuit Ataqatigiit,1,2013-09-08,2014-10-06
278,Karin Gaardsted,Socialdemokratiet,1,2011-09-15,2021-02-21
279,Tina Nedergaard,"Venstre, Danmarks Liberale Parti",1,2002-10-01,2014-10-06
280,Karen J. Klint (udpeget af S),Socialdemokratiet,1,2007-11-13,2011-11-17
281,Finn Thranum,"Venstre, Danmarks Liberale Parti",1,2011-12-06,2014-10-06
282,Sanne Bjørn,Radikale Venstre,1,2014-04-29,2017-01-30
286,Ane Halsboe-Jørgensen,Socialdemokratiet,1,2011-09-15,2022-10-03
288,Torben Hansen (udpeget af S),Socialdemokratiet,1,2002-10-01,2014-10-06
294,Doris Jakobsen,Siumut,1,2009-10-08,2015-02-11
296,Ulla Tørnæs,"Venstre, Danmarks Liberale Parti",1,1994-10-04,2022-10-03
297,Maja Panduro (udpeget af S),Socialdemokratiet,1,2009-08-05,2019-05-07
302,Benedikte Kiær,Det Konservative Folkeparti,1,2011-09-15,2013-09-30
303,Anita Christensen,Dansk Folkeparti,1,2007-11-15,2015-05-27
304,Jacob Lund,Socialdemokratiet,1,2011-11-29,2014-10-06
305,Jens Ejner Christensen,"Venstre, Danmarks Liberale Parti",1,2014-07-01,2014-10-06
343,Mie Bergmann,Radikale Venstre,1,2013-01-10,2014-10-21
344,Linda Kristiansen,Radikale Venstre,1,2012-10-23,
348,Villy Søvndal,Socialistisk Folkeparti,1,1994-08-01,2013-09-30
350,Gitte Lillelund Bech,"Venstre, Danmarks Liberale Parti",1,1999-10-01,2012-10-01
351,Sophie Hæstorp Andersen,Socialdemokratiet,1,2002-10-01,2013-12-03
352,Henrik Dam Kristensen,Socialdemokratiet,1,1992-10-06,2022-10-03
353,Lykke Friis,"Venstre, Danmarks Liberale Parti",1,2011-09-15,2012-10-01
354,Mette Boye,Socialistisk Folkeparti,1,2013-04-30,
362,Vivi Kier,Det Konservative Folkeparti,1,2007-11-13,2013-09-30
363,Jacob Bjerregaard,Socialdemokratiet,1,2011-09-15,2013-09-30
364,Birthe Rønn Hornbech,"Venstre, Danmarks Liberale Parti",1,1984-10-02,2014-10-06
365,Karen Jespersen,Socialdemokratiet,1,1991-10-01,2007-11-12
365,Karen Jespersen,"Venstre, Danmarks Liberale Parti",2,2007-11-13,2014-10-06
366,Daniel Toft Jakobsen,Socialdemokratiet,1,2012-10-23,2022-10-03
367,Karen Touborg,Socialistisk Folkeparti,1,2013-04-04,
370,Thomas Medom,Socialistisk Folkeparti,1,2013-10-01,2013-09-30
371,Niels Christian Nielsen,Socialdemokratiet,1,2008-11-03,2013-06-24
