aktørid,aktør,party,block,relation_start,relation_end
18716,Rasmus Stoklund,Socialdemokratiet,1,2019-06-05,2025-10-06
18717,Bjørn Brandenborg,Socialdemokratiet,1,2019-06-05,2025-11-02
18718,Anders Kronborg,Socialdemokratiet,1,2019-06-05,2025-10-06
18719,Birgitte Vind,Socialdemokratiet,1,2019-06-05,2025-10-06
18720,Camilla Fabricius,Socialdemokratiet,1,2019-06-05,2025-10-06
18721,Mette Thiesen,Dansk Folkeparti,3,2023-02-07,2025-10-06
18721,Mette Thiesen,Nye Borgerlige,1,2019-06-05,2022-11-08
18721,Mette Thiesen,Uden for folketingsgrupperne - Mette Thiesen,2,2022-11-09,2023-02-06
18722,Peter Seier Christensen,Nye Borgerlige,1,2022-11-01,2024-01-10
18722,Peter Seier Christensen,Uden for folketingsgrupperne - Peter Seier Christensen,2,2024-01-11,2025-10-06
18723,Pernille Vermund,Liberal Alliance,3,2024-01-18,2025-10-06
18723,Pernille Vermund,Nye Borgerlige,1,2019-06-05,2024-01-10
18723,Pernille Vermund,Uden for folketingsgrupperne - Pernille Vermund,2,2024-01-11,2024-01-17
18724,Lars Boje Mathiesen,Borgernes Parti – Lars Boje Mathiesen,3,2025-01-17,2025-10-06
18724,Lars Boje Mathiesen,Nye Borgerlige,1,2019-06-05,2023-03-09
18724,Lars Boje Mathiesen,Uden for folketingsgrupperne - Lars Boje Mathiesen,2,2023-03-10,2025-01-16
18725,Samira Nawa,Radikale Venstre,1,2019-06-05,2025-10-06
18726,Stinus Lindgreen,Radikale Venstre,1,2019-06-05,2025-10-06
18727,Kathrine Olldag,Radikale Venstre,1,2019-06-05,2022-10-03
18728,Anne Sophie Callesen,Radikale Venstre,1,2019-06-05,2022-10-03
18729,Katrine Robsøe,Radikale Venstre,1,2019-06-05,2025-10-06
18736,Egil Hulgaard,Det Konservative Folkeparti,1,2019-08-05,2020-10-05
18830,Nils Sjøberg,Radikale Venstre,1,2019-09-02,2019-09-30
18882,Tanja Larsson,Socialdemokratiet,1,2019-10-01,2025-11-02
18917,Balder Mørk Andersen,Socialistisk Folkeparti,1,2019-10-30,
18953,Mira Issa Bloch,Alternativet,1,2019-10-22,
19000,Theresa Berg Andersen,Socialistisk Folkeparti,1,2020-01-01,2025-10-06
19002,Gitte Willumsen,Det Konservative Folkeparti,2,2021-12-21,2022-10-03
19002,Gitte Willumsen,"Venstre, Danmarks Liberale Parti",1,2020-01-01,2021-12-20
19016,Dorthe Hindborg,Socialdemokratiet,1,2020-01-06,
19133,Anders G. Christensen,"Venstre, Danmarks Liberale Parti",1,2020-03-10,
19142,Barbara Gaardlykke Apol,Javnaðarflokkurin,1,2020-03-17,2024-03-04
19146,Anna Brændemose,Socialistisk Folkeparti,1,2020-03-10,
19196,Ruben Kidde,Radikale Venstre,1,2020-04-16,2020-10-05
19221,Hanne Bjørn-Klausen,Det Konservative Folkeparti,1,2020-05-12,
19475,Susan Kronborg,Radikale Venstre,1,2020-11-10,2022-10-03
19480,Henrik Vinther,Radikale Venstre,1,2020-11-17,
19569,Maja Torp,"Venstre, Danmarks Liberale Parti",1,2021-03-01,2022-10-03
19637,Kenneth Mikkelsen,"Venstre, Danmarks Liberale Parti",1,2021-04-01,2022-10-03
19684,Mads Andersen,Det Konservative Folkeparti,1,2021-04-13,
19748,Stine Pilt Olsen,Det Konservative Folkeparti,1,2021-05-20,
19806,Alexander Grandt,Socialdemokratiet,1,2021-09-16,2022-01-01
19807,Anne Rasmussen,"Venstre, Danmarks Liberale Parti",1,2021-08-12,2022-10-03
19809,Christina Thorholm,Radikale Venstre,1,2021-08-31,2022-10-03
19919,Brian Bressendorff,Socialdemokratiet,1,2021-10-07,
19920,Karsten Filsø,Socialistisk Folkeparti,1,2021-10-07,2024-12-12
19928,Kim Aas,Socialdemokratiet,1,2022-11-01,2025-10-06
19948,Mark Grossmann,"Venstre, Danmarks Liberale Parti",1,2021-10-14,
19982,Jan Bjergskov Larsen,Socialistisk Folkeparti,1,2021-11-23,
19996,Helgi Abrahamsen,Sambandsflokkurin,1,2021-12-07,
20051,Theis Kylling Hommeltoft,Socialdemokratiet,1,2022-01-20,2024-01-21
20144,Maria Gudme,Socialdemokratiet,1,2022-05-10,2022-10-03
20349,Anna Falkenberg,Sambandsflokkurin,1,2022-11-01,2025-10-06
20350,Nick Zimmermann,Dansk Folkeparti,1,2022-11-01,2025-10-06
20351,Franciska Rosenkilde,Alternativet,1,2022-11-01,2025-10-06
20352,Helene Brydensholt,Alternativet,1,2022-11-01,2025-10-06
20353,Sascha Faxe,Alternativet,1,2022-11-01,2025-10-06
20354,Theresa Scavenius,Alternativet,1,2022-11-01,2023-09-17
20354,Theresa Scavenius,Uden for folketingsgrupperne - Theresa Scavenius,2,2023-09-18,2025-10-06
20355,Kim Edberg Andersen,Danmarksdemokraterne – Inger Støjberg,3,2024-03-19,2025-10-06
20355,Kim Edberg Andersen,Nye Borgerlige,1,2022-11-01,2024-01-15
20355,Kim Edberg Andersen,Uden for folketingsgrupperne - Kim Edberg Andersen,2,2024-01-16,2024-03-18
20356,Mikkel Bjørn,Dansk Folkeparti,2,2023-01-24,2025-10-06
20356,Mikkel Bjørn,Nye Borgerlige,1,2022-11-01,2023-01-23
20357,Lise Bertelsen,Det Konservative Folkeparti,1,2022-11-01,2025-10-06
20358,Marianne Bigum,Socialistisk Folkeparti,1,2022-11-01,2025-10-06
20359,Sigurd Agersnap,Socialistisk Folkeparti,1,2022-11-01,2025-10-06
20360,Sofie Lippert,Socialistisk Folkeparti,1,2022-11-01,2025-10-06
20361,Fie Hækkerup,Socialdemokratiet,1,2022-11-01,2025-02-26
20362,Thomas Monberg,Socialdemokratiet,1,2022-11-01,2025-10-06
20363,Sara Emil Baaring,Socialdemokratiet,1,2022-11-01,2025-10-06
20364,Frederik Vad,Socialdemokratiet,1,2022-11-01,2025-10-06
20365,Matilde Powers,Socialdemokratiet,1,2022-11-01,2025-10-06
20366,Thomas Skriver Jensen,Socialdemokratiet,1,2022-11-01,2025-10-06
20367,Kris Jensen Skriver,Socialdemokratiet,1,2022-11-01,2025-10-06
20368,Maria Durhuus,Socialdemokratiet,1,2022-11-01,2025-10-06
20369,Helle Bonnesen,Det Konservative Folkeparti,1,2022-11-01,2025-10-06
20370,Christina Olumeko,Alternativet,1,2022-11-01,2025-10-06
20371,Linea Søgaard-Lidell,"Venstre, Danmarks Liberale Parti",1,2022-11-01,2025-10-06
20372,Betina Kastbjerg,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
20373,Susie Jessen,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
20374,Kenneth Fredslund Petersen,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
20375,Charlotte Munch,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
20376,Kristian Bøgsted,Danmarksdemokraterne – Inger Støjberg,1,2022-11-01,2025-10-06
20377,Henrik Frandsen,Moderaterne,1,2022-11-01,2025-10-06
20378,Rosa Eriksen,Moderaterne,1,2022-11-01,2025-10-06
20379,Tobias Grotkjær Elmstrøm,Moderaterne,1,2022-11-01,2024-09-30
20380,Monika Rubin,Moderaterne,1,2022-11-01,2024-09-30
20381,Karin Liltorp,Alternativet,3,2025-03-04,2025-10-06
20381,Karin Liltorp,Moderaterne,1,2022-11-01,2025-02-23
20381,Karin Liltorp,Uden for folketingsgrupperne - Karin Liltorp,2,2025-02-24,2025-03-03
20382,Mette Kierkgaard,Moderaterne,1,2022-11-01,2025-10-06
20383,Jeppe Søe,Moderaterne,1,2022-11-01,2024-09-05
20383,Jeppe Søe,Uden for folketingsgrupperne - Jeppe Søe,2,2024-09-06,2025-10-06
20384,Nanna W. Gotfredsen,Moderaterne,1,2022-11-01,2025-10-06
20385,Charlotte Bagge Hansen,Moderaterne,1,2022-11-01,2025-10-06
20386,Rasmus Lund-Nielsen,Moderaterne,1,2022-11-01,2025-10-06
20387,Kristian Klarskov,Moderaterne,1,2022-11-01,
20388,Jon Stephensen,Moderaterne,1,2022-11-01,2023-08-23
20388,Jon Stephensen,Uden for folketingsgrupperne - Jon Stephensen,2,2023-08-24,2025-10-06
20389,Peter Have,Moderaterne,1,2022-11-01,2025-10-06
20390,Mike Villa Fonseca,Moderaterne,1,2022-11-01,2023-11-17
20390,Mike Villa Fonseca,Uden for folketingsgrupperne - Mike Villa Fonseca,2,2023-11-18,2025-10-06
20391,Sólbjørg Jakobsen,Liberal Alliance,1,2022-11-01,2025-10-06
20392,Lars-Christian Brask,Liberal Alliance,1,2022-11-01,2025-10-06
20393,Katrine Daugaard,Liberal Alliance,1,2022-11-01,2025-10-06
20394,Steffen W. Frølund,Liberal Alliance,1,2022-11-01,2025-10-06
20395,Alexander Ryle,Liberal Alliance,1,2022-11-01,2025-10-06
20396,Jens Meilvang,Liberal Alliance,1,2022-11-01,2025-10-06
20397,Steffen Larsen,Liberal Alliance,1,2022-11-01,2025-10-06
20398,Helena Artmann Andresen,Liberal Alliance,1,2022-11-01,2025-10-06
20399,Louise Brown,Liberal Alliance,1,2022-11-01,2025-10-06
20400,Sandra Elisabeth Skalvig,Liberal Alliance,1,2022-11-01,2025-10-06
20411,Leila Stockmarr,Enhedslisten,1,2022-11-22,2025-10-06
20415,Mohammad Rona,Moderaterne,1,2022-11-24,2025-10-06
20496,Henrik Rejnholt Andersen,Moderaterne,1,2023-01-19,2025-10-06
20527,Nanna Høyrup,Alternativet,1,2023-05-01,
20539,Noah Sturis,Alternativet,1,2023-03-28,
20559,Reza Javid,Enhedslisten,1,2023-03-28,
20580,Lean Milo,Moderaterne,1,2023-04-27,2023-08-17
20580,Lean Milo,Uden for folketingsgrupperne - Jon Stephensen,2,2023-08-18,
20599,Søren Rasmussen,Dansk Folkeparti,1,2023-08-10,2023-10-02
20629,Nikoline Erbs Hillers-Bendtsen,Alternativet,1,2023-09-07,2024-12-17
20635,Markus E. Olsen,Siumut,1,2023-09-22,2023-10-02
20642,Anne Hegelund,Enhedslisten,1,2023-09-07,2023-10-02
20747,Jenny Andresen,Danmarksdemokraterne – Inger Støjberg,1,2023-11-01,
20767,Andreas Karlsen,Det Konservative Folkeparti,1,2023-11-01,
20779,Runa Friis Hansen,Enhedslisten,1,2023-11-07,
20781,Gunvor Wibroe,Socialdemokratiet,1,2023-11-02,2025-10-06
20790,Ken Kristensen,"Venstre, Danmarks Liberale Parti",1,2023-11-20,2025-05-25
20798,Mads Olsen,Socialistisk Folkeparti,1,2023-11-30,2025-10-06
20805,Jan Carlsen,Moderaterne,1,2023-11-23,
20820,Carl Andersen,Liberal Alliance,1,2023-12-07,2025-10-06
20823,Morten Vehl,Danmarksdemokraterne – Inger Støjberg,1,2023-12-12,
20841,Lars Arne Christensen,Moderaterne,1,2024-02-01,
20916,Kenneth Bjerg Andersen,Moderaterne,1,2024-02-20,
20917,Tina Cartey Hansen,Det Konservative Folkeparti,1,2024-02-20,2025-10-06
20925,Dina Raabjerg,Det Konservative Folkeparti,1,2024-03-03,2025-10-06
20930,Louise Mehnke,Socialdemokratiet,1,2024-03-19,2025-10-06
20941,Preben Friis-Hauge,"Venstre, Danmarks Liberale Parti",1,2024-04-04,
20962,Claus Jørgensen,Socialistisk Folkeparti,1,2024-05-28,2025-10-06
20966,Frederik Bloch Münster,Det Konservative Folkeparti,1,2024-06-26,2025-10-06
21044,Lasse Haugaard Pedersen,Socialdemokratiet,1,2024-10-10,2025-10-06
21075,Michael Rosenmark,Danmarksdemokraterne – Inger Støjberg,1,2024-10-30,
21076,Charlotte Nellemann,Liberal Alliance,1,2024-10-30,
21083,Thorkild Holmboe-Hay,Socialdemokratiet,1,2024-11-04,2025-10-06
21143,Morten Klessen,Socialdemokratiet,1,2025-02-28,2025-10-06
21159,Ammar Ali,Moderaterne,1,2025-04-22,2025-10-06
21161,Lisa Perkins,Liberal Alliance,1,2025-04-24,
21168,Erik Veje Rasmussen,"Venstre, Danmarks Liberale Parti",1,2025-07-01,2025-10-06
21186,Mads Madsen Henriksen,Socialdemokratiet,1,2025-09-04,2025-10-06
21194,Joachim Hoffmann-Petersen,Det Konservative Folkeparti,1,2025-09-09,2025-10-06
21206,Elvira Kûitse,Naleraq,1,2025-09-19,2025-10-06
