aktørid,aktør,Period,party
19982,Jan Bjergskov Larsen,65,Socialistisk Folkeparti
19948,Mark Grossmann,65,Venstre
19928,Kim Aas,65,Socialdemokratiet
19920,Karsten Filsø,65,Socialistisk Folkeparti
19919,Brian Bressendorff,65,Socialdemokratiet
19809,Christina Thorholm,65,Radikale Venstre
19807,Anne Rasmussen,65,Venstre
20354,Theresa Scavenius,65,Alternativet
19748,Stine Pilt Olsen,65,Det Konservative Folkeparti
18830,Nils Sjøberg,65,Radikale Venstre
18736,Egil Hulgaard,65,Det Konservative Folkeparti
18729,Katrine Robsøe,65,Radikale Venstre
18711,Birgitte Bergman,65,Det Konservative Folkeparti
18710,Katarina Ammitzbøll,65,Det Konservative Folkeparti
18709,Signe Munk,65,Socialistisk Folkeparti
18708,Charlotte Broman Mølbæk,65,Socialistisk Folkeparti
20360,Sofie Lippert,65,Socialistisk Folkeparti
18707,Astrid Carøe,65,Socialistisk Folkeparti
18706,Anne Valentina Berthelsen,65,Socialistisk Folkeparti
18705,Ina Strøjer-Schmidt,65,Socialistisk Folkeparti
18704,Halime Oguz,65,Socialistisk Folkeparti
18703,Alex Vanopslagh,65,Liberal Alliance
18702,Anne Honoré Østergaard,65,Venstre
18701,Marie Bjerre,65,Venstre
20361,Fie Hækkerup,65,Socialdemokratiet
18700,Heidi Bank,65,Venstre
18699,Christoffer Aagaard Melson,65,Venstre
18712,Niels Flemming Hansen,65,Det Konservative Folkeparti
18713,Mona Juul,65,Det Konservative Folkeparti
18714,Kasper Sand Kjær,65,Socialdemokratiet
20359,Sigurd Agersnap,65,Socialistisk Folkeparti
20357,Lise Bertelsen,65,Det Konservative Folkeparti
18728,Anne Sophie Callesen,65,Radikale Venstre
18727,Kathrine Olldag,65,Radikale Venstre
18726,Stinus Lindgreen,65,Radikale Venstre
18725,Samira Nawa,65,Radikale Venstre
18724,Lars Boje Mathiesen,65,Nye Borgerlige
18723,Pernille Vermund,65,Nye Borgerlige
15781,Claus Kvist Hansen,65,Dansk Folkeparti
18722,Peter Seier Christensen,65,Nye Borgerlige
18721,Mette Thiesen,65,Nye Borgerlige
18720,Camilla Fabricius,65,Socialdemokratiet
18719,Birgitte Vind,65,Socialdemokratiet
18718,Anders Kronborg,65,Socialdemokratiet
18717,Bjørn Brandenborg,65,Socialdemokratiet
18716,Rasmus Stoklund,65,Socialdemokratiet
18715,Henrik Møller,65,Socialdemokratiet
20358,Marianne Bigum,65,Socialistisk Folkeparti
20966,Frederik Bloch Münster,65,Det Konservative Folkeparti
20371,Linea Søgaard-Lidell,65,Venstre
15779,Carsten Bach,65,Liberal Alliance
3087,Elisabeth Geday,65,Radikale Venstre
3086,Johs. Poulsen,65,Radikale Venstre
3085,Kim Mortensen,65,Socialdemokratiet
3084,Troels Christensen (udpeget af V),65,Venstre
3083,Charlotte Fischer,65,Radikale Venstre
20384,Nanna W. Gotfredsen,65,Moderaterne
3082,Henrik Brodersen,65,Dansk Folkeparti
3081,Kurt Kirkegaard,65,Venstre
3042,"Frode Sørensen, Hjørring",65,Socialdemokratiet
2156,Gitte Seeberg,65,Det Konservative Folkeparti
2103,Britta Schall Holberg,65,Venstre
1951,Flemming Møller (udpeget af V),65,Venstre
1948,Birgitte Møller,65,Radikale Venstre
20385,Charlotte Bagge Hansen,65,Moderaterne
1947,Søren Hansen,65,Socialdemokratiet
3088,Bente Dahl,65,Radikale Venstre
1916,Christian Wedell-Neergaard,65,Det Konservative Folkeparti
3089,Joan Erlandsen,65,Venstre
3090,Tina Petersen,65,Dansk Folkeparti
20381,Karin Liltorp,65,Moderaterne
4515,Jørgen S. Lundsgaard,65,Det Konservative Folkeparti
4434,Abbas Razvi,65,Radikale Venstre
4433,Jens Jørgen Nygaard,65,Det Konservative Folkeparti
4428,Jens Borking,65,Enhedslisten
3998,Thomas Krog,65,Socialistisk Folkeparti
3997,Tina Bostrup,65,Radikale Venstre
3996,Henrik Fruergaard,65,Venstre
20382,Mette Kierkgaard,65,Moderaterne
3995,Egil Møller,65,Dansk Folkeparti
3994,Jesper Kinch-Jensen,65,Socialdemokratiet
3993,Grethe H. Nielsen,65,Socialdemokratiet
3992,Bjørn Medom Nielsen,65,Socialdemokratiet
3093,Anfinn Kallsberg,65,Fólkaflokkurin
3092,Vibeke Grave,65,Socialdemokratiet
20383,Jeppe Søe,65,Moderaterne
4956,Ib Poulsen,65,Dansk Folkeparti
1914,Jakob Jensen,65,Socialdemokratiet
1911,Henning Gjellerod,65,Socialdemokratiet
1824,Anders Møller,65,Venstre
1823,Knud Erik Kirkegaard,65,Det Konservative Folkeparti
1822,Jens Peter Vernersen,65,Socialdemokratiet
1821,Sven Buhrkall,65,Venstre
1818,Ester Larsen,65,Venstre
1817,Jens Christian Larsen,65,Venstre
1815,Jette Jespersen,65,Dansk Folkeparti
20389,Peter Have,65,Moderaterne
1814,Gudrun Laub,65,Venstre
1811,Erik Larsen (udpeget af V),65,Venstre
1805,Inge-Lene Ebdrup,65,Venstre
1804,Jan Petersen (udpeget af S),65,Socialdemokratiet
1793,Keld Albrechtsen,65,Enhedslisten
1792,Svend Aage Jensby,65,Venstre
1791,Henrik Vestergaard,65,Venstre
20388,Jon Stephensen,65,Moderaterne
1912,Ida Jørgensen,65,Radikale Venstre
1829,Thor Pedersen,65,Venstre
1831,Freddie H. Madsen,65,Dansk Folkeparti
1891,Thomas Adelskov,65,Socialdemokratiet
1887,Connie Hedegaard,65,Det Konservative Folkeparti
20386,Rasmus Lund-Nielsen,65,Moderaterne
1886,Jacob Buksti,65,Socialdemokratiet
1885,Inge Dahl-Sørensen,65,Venstre
1883,Anne Grete Holmsgaard (udpeget af SF),65,Socialistisk Folkeparti
1882,Henriette Kjær,65,Det Konservative Folkeparti
1881,Elisabeth Arnold,65,Radikale Venstre
1880,Anne-Marie Meldgaard,65,Socialdemokratiet
1879,Lars Kramer Mikkelsen,65,Socialdemokratiet
20387,Kristian Klarskov,65,Moderaterne
1850,Christian Lund Jepsen,65,Venstre
1845,Søren Gade,65,Venstre
1844,Jens Kirk,65,Venstre
1833,Høgni Hoydal,65,Tjóðveldi
1830,Helge Mortensen,65,Socialdemokratiet
4957,Tage Leegaard,65,Det Konservative Folkeparti
4965,Hanne Agersnap (udpeget af SF),65,Socialistisk Folkeparti
4968,Knud Kristensen,65,Det Konservative Folkeparti
15761,Karina Due,65,Dansk Folkeparti
15760,Lea Wermelin,65,Socialdemokratiet
20374,Kenneth Fredslund Petersen,65,Danmarksdemokraterne
15758,Aleqa Hammond,65,Siumut
15757,Aaja Chemnitz,65,Inuit Ataqatigiit
14372,Susanne Eilersen (udpeget af DF),65,Dansk Folkeparti
14000,Nick Nielsen,65,Siumut
13843,Bente Bendix,65,Venstre
13836,Helge Vagn Jacobsen,65,Radikale Venstre
13727,Sarah Nørris,65,Enhedslisten
20375,Charlotte Munch,65,Danmarksdemokraterne
12285,Ida Damborg,65,Socialistisk Folkeparti
12284,Marie-Louise Andreassen,65,Radikale Venstre
12283,Aksel V. Johannesen,65,Javnaðarflokkurin
11702,Per Larsen,65,Det Konservative Folkeparti
15762,Christian Rabjerg Madsen,65,Socialdemokratiet
11586,Bilal Inekci,65,Socialistisk Folkeparti
15763,Peter Kofod,65,Dansk Folkeparti
15765,Carl Holst,65,Venstre
15778,Carolina Magdalene Maier,65,Alternativet
15777,Pelle Dragsted,65,Enhedslisten
15776,Peter Hummelgaard,65,Socialdemokratiet
15775,Torsten Gejl,65,Alternativet
15774,Lise Bech,65,Dansk Folkeparti
20372,Betina Kastbjerg,65,Danmarksdemokraterne
15773,Christina Egelund,65,Liberal Alliance
15772,Ulla Sandbæk,65,Alternativet
15771,Morten Løkkegaard,65,Venstre
15770,Mattias Tesfaye,65,Socialdemokratiet
15769,Maria Reumert Gjerding,65,Enhedslisten
15768,Pernille Schnoor,65,Socialdemokratiet
15767,Pernille Bendixen,65,Dansk Folkeparti
20373,Susie Jessen,65,Danmarksdemokraterne
15766,Erik Christensen (udpeget af S),65,Socialdemokratiet
15764,Jan Rytkjær Callesen,65,Dansk Folkeparti
