voting_id,party,politician,vote_type,Period
9881,Det Konservative Folkeparti,Per Larsen,2,71
9881,Socialdemokratiet,Lea Wermelin,2,71
9881,Dansk Folkeparti,Peter Kofod,2,71
9881,Socialdemokratiet,Mattias Tesfaye,2,71
9881,Danmarksdemokraterne,Lise Bech,2,71
9881,Socialdemokratiet,Peter Hummelgaard,2,71
9881,Socialdemokratiet,Malte Larsen,2,71
9881,Socialdemokratiet,Anne Paulin,2,71
9881,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9881,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,2,71
9881,Venstre,Kim Valentin,2,71
9881,Venstre,Christoffer Aagaard Melson,2,71
9881,Venstre,Heidi Bank,2,71
9881,Venstre,Marie Bjerre,2,71
9882,Dansk Folkeparti,Alex Ahrendtsen,2,71
9882,Danmarksdemokraterne,Søren Espersen,2,71
9882,Venstre,Erling Bonnesen,2,71
9882,Socialdemokratiet,Mette Reissmann,2,71
9882,Venstre,Torsten Schack Pedersen,2,71
9882,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9882,Venstre,Louise Elholm,2,71
9882,Socialdemokratiet,Jesper Petersen,2,71
9882,Liberal Alliance,Ole Birk Olesen,2,71
9882,Venstre,Jan E. Jørgensen,2,71
9882,Enhedslisten,Trine Pertou Mach,1,71
9882,Radikale Venstre,Lotte Rod,1,71
9882,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9882,Socialdemokratiet,Trine Bramsen,2,71
9882,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9882,Socialdemokratiet,Benny Engelbrecht,2,71
9882,Venstre,Hans Christian Schmidt,2,71
9882,Venstre,Preben Bang Henriksen,2,71
9882,Venstre,Sophie Løhde,2,71
9882,Venstre,Christian Friis Bach,1,71
9882,Socialdemokratiet,Ida Auken,2,71
9882,Socialdemokratiet,Mogens Jensen,2,71
9882,Danmarksdemokraterne,Karina Adsbøl,2,71
9882,Venstre,Hans Andersen,2,71
9882,Venstre,Anni Matthiesen,2,71
9882,Socialdemokratiet,Pernille Rosenkrantz-Theil,2,71
9882,Venstre,Michael Aastrup Jensen,2,71
9882,Venstre,Peter Juel-Jensen,2,71
9882,Det Konservative Folkeparti,Mai Mercado,2,71
9882,Socialdemokratiet,Thomas Jensen,2,71
9882,Socialdemokratiet,Jens Joel,2,71
9882,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9882,Socialdemokratiet,Flemming Møller Mortensen,2,71
9882,Socialdemokratiet,Magnus Heunicke,2,71
9882,Socialdemokratiet,Bjarne Laustsen,2,71
9882,Socialdemokratiet,Leif Lahn Jensen,2,71
9882,Socialdemokratiet,Rasmus Prehn,2,71
9882,Socialdemokratiet,Per Husted,2,71
9882,Socialdemokratiet,Karin Gaardsted,2,71
9882,Enhedslisten,Søren Egge Rasmussen,1,71
9882,Det Konservative Folkeparti,Rasmus Jarlov,2,71
9882,Enhedslisten,Jette Gottlieb,1,71
9882,Det Konservative Folkeparti,Per Larsen,2,71
9882,Socialdemokratiet,Lea Wermelin,2,71
9882,Dansk Folkeparti,Peter Kofod,2,71
9882,Socialdemokratiet,Mattias Tesfaye,2,71
9882,Danmarksdemokraterne,Lise Bech,2,71
9882,Socialdemokratiet,Peter Hummelgaard,2,71
9882,Socialdemokratiet,Malte Larsen,2,71
9882,Socialdemokratiet,Anne Paulin,2,71
9882,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9882,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,2,71
9882,Venstre,Kim Valentin,2,71
9882,Venstre,Christoffer Aagaard Melson,2,71
9882,Venstre,Heidi Bank,2,71
9882,Venstre,Marie Bjerre,2,71
9883,Dansk Folkeparti,Alex Ahrendtsen,2,71
9883,Danmarksdemokraterne,Søren Espersen,2,71
9883,Venstre,Erling Bonnesen,2,71
9883,Socialdemokratiet,Mette Reissmann,2,71
9883,Venstre,Torsten Schack Pedersen,2,71
9883,Danmarksdemokraterne,Hans Kristian Skibby,2,71
9883,Venstre,Louise Elholm,2,71
9883,Socialdemokratiet,Jesper Petersen,2,71
9883,Liberal Alliance,Ole Birk Olesen,2,71
9883,Venstre,Jan E. Jørgensen,2,71
9883,Enhedslisten,Trine Pertou Mach,1,71
9883,Radikale Venstre,Lotte Rod,1,71
9883,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,2,71
9883,Socialdemokratiet,Trine Bramsen,2,71
9883,Danmarksdemokraterne,Dennis Flydtkjær,2,71
9883,Socialdemokratiet,Benny Engelbrecht,2,71
9883,Venstre,Hans Christian Schmidt,2,71
9883,Venstre,Preben Bang Henriksen,2,71
9883,Venstre,Sophie Løhde,2,71
9883,Venstre,Christian Friis Bach,1,71
9883,Socialdemokratiet,Ida Auken,2,71
9883,Socialdemokratiet,Mogens Jensen,2,71
9883,Danmarksdemokraterne,Karina Adsbøl,2,71
9883,Venstre,Hans Andersen,2,71
9883,Venstre,Anni Matthiesen,2,71
9883,Socialdemokratiet,Pernille Rosenkrantz-Theil,2,71
9883,Venstre,Michael Aastrup Jensen,2,71
9883,Det Konservative Folkeparti,Mai Mercado,2,71
9883,Socialdemokratiet,Thomas Jensen,2,71
9883,Socialdemokratiet,Jens Joel,2,71
9883,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,1,71
9883,Socialdemokratiet,Flemming Møller Mortensen,2,71
9883,Socialdemokratiet,Magnus Heunicke,2,71
9883,Socialdemokratiet,Bjarne Laustsen,2,71
9883,Socialdemokratiet,Leif Lahn Jensen,2,71
9883,Socialdemokratiet,Rasmus Prehn,2,71
9883,Socialdemokratiet,Per Husted,2,71
9883,Socialdemokratiet,Karin Gaardsted,2,71
9883,Enhedslisten,Søren Egge Rasmussen,1,71
9883,Det Konservative Folkeparti,Rasmus Jarlov,2,71
9883,Enhedslisten,Jette Gottlieb,1,71
9883,Det Konservative Folkeparti,Per Larsen,2,71
9883,Socialdemokratiet,Lea Wermelin,2,71
9883,Dansk Folkeparti,Peter Kofod,2,71
9883,Socialdemokratiet,Mattias Tesfaye,2,71
9883,Danmarksdemokraterne,Lise Bech,2,71
9883,Socialdemokratiet,Peter Hummelgaard,2,71
9883,Socialdemokratiet,Malte Larsen,2,71
9883,Socialdemokratiet,Anne Paulin,2,71
9883,Socialistisk Folkeparti,Kirsten Normann Andersen,1,71
9883,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,2,71
9883,Venstre,Kim Valentin,2,71
9883,Venstre,Christoffer Aagaard Melson,2,71
9883,Venstre,Heidi Bank,2,71
9883,Venstre,Marie Bjerre,2,71
9884,Dansk Folkeparti,Alex Ahrendtsen,1,71
9884,Danmarksdemokraterne,Søren Espersen,1,71
9884,Venstre,Erling Bonnesen,2,71
9884,Socialdemokratiet,Mette Reissmann,2,71
9884,Venstre,Torsten Schack Pedersen,2,71
9884,Danmarksdemokraterne,Hans Kristian Skibby,1,71
9884,Venstre,Louise Elholm,2,71
9884,Socialdemokratiet,Jesper Petersen,2,71
9884,Venstre,Jan E. Jørgensen,2,71
9884,Enhedslisten,Trine Pertou Mach,2,71
9884,Radikale Venstre,Lotte Rod,2,71
9884,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1,71
9884,Socialdemokratiet,Trine Bramsen,2,71
9884,Danmarksdemokraterne,Dennis Flydtkjær,1,71
9884,Socialdemokratiet,Benny Engelbrecht,2,71
9884,Venstre,Hans Christian Schmidt,2,71
9884,Venstre,Preben Bang Henriksen,2,71
9884,Venstre,Sophie Løhde,2,71
9884,Venstre,Christian Friis Bach,2,71
9884,Socialdemokratiet,Ida Auken,2,71
9884,Socialdemokratiet,Mogens Jensen,2,71
9884,Danmarksdemokraterne,Karina Adsbøl,1,71
9884,Venstre,Hans Andersen,2,71
9884,Venstre,Anni Matthiesen,2,71
9884,Socialdemokratiet,Pernille Rosenkrantz-Theil,2,71
9884,Venstre,Michael Aastrup Jensen,2,71
9884,Venstre,Peter Juel-Jensen,2,71
9884,Det Konservative Folkeparti,Mai Mercado,1,71
9884,Socialdemokratiet,Thomas Jensen,2,71
9884,Socialdemokratiet,Jens Joel,2,71
9884,Socialistisk Folkeparti,Lisbeth Bech-Nielsen,2,71
9884,Socialdemokratiet,Flemming Møller Mortensen,2,71
9884,Socialdemokratiet,Magnus Heunicke,2,71
9884,Socialdemokratiet,Bjarne Laustsen,2,71
9884,Socialdemokratiet,Leif Lahn Jensen,2,71
9884,Socialdemokratiet,Rasmus Prehn,2,71
9884,Socialdemokratiet,Per Husted,2,71
9884,Socialdemokratiet,Karin Gaardsted,2,71
9884,Enhedslisten,Søren Egge Rasmussen,2,71
9884,Det Konservative Folkeparti,Rasmus Jarlov,1,71
9884,Enhedslisten,Jette Gottlieb,2,71
9884,Det Konservative Folkeparti,Per Larsen,1,71
9884,Socialdemokratiet,Lea Wermelin,2,71
9884,Dansk Folkeparti,Peter Kofod,1,71
9884,Socialdemokratiet,Mattias Tesfaye,2,71
9884,Danmarksdemokraterne,Lise Bech,1,71
9884,Socialdemokratiet,Peter Hummelgaard,2,71
9884,Socialdemokratiet,Malte Larsen,2,71
9884,Socialdemokratiet,Anne Paulin,2,71
9884,Socialistisk Folkeparti,Kirsten Normann Andersen,2,71
9884,Det Konservative Folkeparti,Brigitte Klintskov Jerkel,1,71
9884,Venstre,Kim Valentin,2,71
9884,Venstre,Christoffer Aagaard Melson,2,71
9884,Venstre,Heidi Bank,2,71
9884,Venstre,Marie Bjerre,2,71
9885,Dansk Folkeparti,Alex Ahrendtsen,2,71
9885,Danmarksdemokraterne,Søren Espersen,1,71
9885,Venstre,Erling Bonnesen,1,71
9885,Socialdemokratiet,Mette Reissmann,1,71
9885,Venstre,Torsten Schack Pedersen,1,71
9885,Danmarksdemokraterne,Hans Kristian Skibby,1,71
9885,Venstre,Louise Elholm,1,71
9885,Socialdemokratiet,Jesper Petersen,1,71
9885,Liberal Alliance,Ole Birk Olesen,1,71
9885,Venstre,Jan E. Jørgensen,1,71
9885,Enhedslisten,Trine Pertou Mach,4,71
9885,Radikale Venstre,Lotte Rod,1,71
9885,Danmarksdemokraterne,Jens Henrik Thulesen Dahl,1,71
