party_a,party_b,Period,total_votes_shared,total_votes_agreed,weight,topic
Tjóðveldi,Venstre,69,38,0.0,0.0,immigration
Venstre,Venstre,69,40164,40153.0,0.9997261228961258,immigration
Alternativet,Alternativet,70,126,126.0,1.0,immigration
Alternativet,Dansk Folkeparti,70,1933,481.0,0.2488360062079669,immigration
Alternativet,Det Konservative Folkeparti,70,1474,550.0,0.373134328358209,immigration
Alternativet,Enhedslisten,70,1866,1715.0,0.9190782422293676,immigration
Alternativet,Frie Grønne,70,88,78.0,0.8863636363636364,immigration
Alternativet,Kristendemokraterne,70,36,25.0,0.6944444444444444,immigration
Alternativet,Liberal Alliance,70,240,86.0,0.35833333333333334,immigration
Alternativet,Nye Borgerlige,70,460,100.0,0.21739130434782608,immigration
Alternativet,Radikale Venstre,70,1997,1765.0,0.8838257386079119,immigration
Alternativet,Sambandsflokkurin,70,7,2.0,0.2857142857142857,immigration
Alternativet,Socialdemokratiet,70,4894,2493.0,0.5093992644053944,immigration
Alternativet,Socialistisk Folkeparti,70,1942,1642.0,0.8455200823892894,immigration
Alternativet,Uden for Folketingsgrupperne,70,255,151.0,0.592156862745098,immigration
Alternativet,Venstre,70,4846,2012.0,0.4151877837391663,immigration
Dansk Folkeparti,Dansk Folkeparti,70,5142,5091.0,0.9900816802800467,immigration
Dansk Folkeparti,Det Konservative Folkeparti,70,9533,6229.0,0.6534144550508759,immigration
Dansk Folkeparti,Enhedslisten,70,11855,3203.0,0.27018135807676086,immigration
Dansk Folkeparti,Frie Grønne,70,732,213.0,0.29098360655737704,immigration
Dansk Folkeparti,Kristendemokraterne,70,273,57.0,0.2087912087912088,immigration
Dansk Folkeparti,Liberal Alliance,70,1513,1034.0,0.6834104428288169,immigration
Dansk Folkeparti,Nye Borgerlige,70,2954,2549.0,0.8628977657413677,immigration
Dansk Folkeparti,Radikale Venstre,70,12709,3398.0,0.2673695806121646,immigration
Dansk Folkeparti,Sambandsflokkurin,70,51,35.0,0.6862745098039216,immigration
Dansk Folkeparti,Socialdemokratiet,70,32469,15742.0,0.48483168560781054,immigration
Dansk Folkeparti,Socialistisk Folkeparti,70,12806,3805.0,0.2971263470248321,immigration
Dansk Folkeparti,Uden for Folketingsgrupperne,70,2684,1279.0,0.47652757078986585,immigration
Dansk Folkeparti,Venstre,70,31960,19462.0,0.6089486858573216,immigration
Det Konservative Folkeparti,Det Konservative Folkeparti,70,3526,3517.0,0.9974475326148611,immigration
Det Konservative Folkeparti,Enhedslisten,70,10092,4436.0,0.43955608402695207,immigration
Det Konservative Folkeparti,Frie Grønne,70,834,388.0,0.46522781774580335,immigration
Det Konservative Folkeparti,Kristendemokraterne,70,264,119.0,0.45075757575757575,immigration
Det Konservative Folkeparti,Liberal Alliance,70,1314,1118.0,0.8508371385083714,immigration
Det Konservative Folkeparti,Nye Borgerlige,70,2479,1489.0,0.6006454215409439,immigration
Det Konservative Folkeparti,Radikale Venstre,70,11118,5759.0,0.5179888469149128,immigration
Det Konservative Folkeparti,Sambandsflokkurin,70,44,44.0,1.0,immigration
Det Konservative Folkeparti,Socialdemokratiet,70,27833,20857.0,0.7493622678115905,immigration
Det Konservative Folkeparti,Socialistisk Folkeparti,70,11232,5832.0,0.5192307692307693,immigration
Det Konservative Folkeparti,Uden for Folketingsgrupperne,70,2948,1493.0,0.5064450474898237,immigration
Det Konservative Folkeparti,Venstre,70,27466,24430.0,0.8894633364887498,immigration
Enhedslisten,Enhedslisten,70,5320,5314.0,0.9988721804511278,immigration
Enhedslisten,Frie Grønne,70,929,794.0,0.8546824542518837,immigration
Enhedslisten,Kristendemokraterne,70,288,212.0,0.7361111111111112,immigration
Enhedslisten,Liberal Alliance,70,1593,645.0,0.4048964218455744,immigration
Enhedslisten,Nye Borgerlige,70,3021,698.0,0.23104932141674941,immigration
Enhedslisten,Radikale Venstre,70,13478,12166.0,0.9026561804422021,immigration
Enhedslisten,Sambandsflokkurin,70,56,32.0,0.5714285714285714,immigration
Enhedslisten,Socialdemokratiet,70,33927,20227.0,0.5961918236213045,immigration
Enhedslisten,Socialistisk Folkeparti,70,13565,11825.0,0.8717287136011795,immigration
Enhedslisten,Uden for Folketingsgrupperne,70,3294,2010.0,0.6102003642987249,immigration
Enhedslisten,Venstre,70,33532,15488.0,0.46188715257067875,immigration
Frie Grønne,Frie Grønne,70,48,48.0,1.0,immigration
